insightWidgetName,insightWidgetNameVersion,displayDate
benchmark_streak_activity_points_w_3,1,05/09/2022
benchmark_streak_activity_points_w_4,1,05/16/2022
benchmark_streak_activity_sessions_d_3,2,05/17/2022
benchmark_streak_activity_sessions_d_5,2,06/01/2022
benchmark_streak_sleep_onset_latency_d_3,2,06/02/2022
benchmark_streak_sleep_onset_latency_d_3,2,05/08/2022
benchmark_streak_sleep_onset_latency_d_5,2,05/10/2022
benchmark_streak_sleep_onset_latency_d_5,2,05/28/2022
benchmark_streak_steps_d_3,2,06/02/2022
benchmark_streak_steps_d_3,2,05/08/2022
benchmark_streak_steps_d_5,2,05/18/2022
benchmarked_wow_sleep_onset_latency_meets_with_decrease,2,05/09/2022
daily_anomaly_to_last_week_above_resting_heart_rate,2,06/03/2022
daily_anomaly_to_last_week_above_sleep_duration,3,05/14/2022
daily_anomaly_to_last_week_above_sleep_onset_latency,3,05/15/2022
daily_anomaly_to_last_week_below_resting_heart_rate,2,05/12/2022
daily_deep_sleep_above_target,1,05/25/2022
daily_deep_sleep_above_target,1,05/25/2022
daily_high_sedentary_time,1,05/28/2022
daily_high_sedentary_time,1,05/13/2022
daily_high_sleep_onset_latency,2,05/30/2022
daily_low_sleep_efficiency,1,05/27/2022
daily_rem_sleep_above_target,1,05/18/2022
daily_rem_sleep_below_target,1,05/17/2022
daily_sleep_disturbances_above_target,1,05/12/2022
daily_sleep_disturbances_below_target,1,05/29/2022
daily_sleep_disturbances_below_target,1,05/06/2022
daily_sleep_duration_below_target,1,05/31/2022
evergreen_metric_measure_calories,1,05/23/2022
evergreen_metric_measure_calories,1,05/27/2022
evergreen_metric_measure_calories,1,05/07/2022
evergreen_metric_reflective_moment_activity,1,05/29/2022
evergreen_metric_reflective_moment_activity,1,05/24/2022
evergreen_metric_reflective_moment_activity,1,05/06/2022
evergreen_metric_reflective_moment_sleep,1,05/07/2022
evergreen_metric_resting_heart_rate,1,05/14/2022
evergreen_metric_resting_heart_rate,1,05/25/2022
evergreen_metric_sleep_disturbances,1,06/01/2022
evergreen_sedentary_time_impacts_activity_score,1,05/15/2022
evergreen_sedentary_time_impacts_activity_score,1,05/05/2022
evergreen_sedentary_time_impacts_activity_score,1,05/26/2022
population_comparison_activity_score_weekly,1,05/10/2022
population_comparison_activity_score_weekly,1,05/30/2022
population_comparison_intense_activity_time_weekly,1,05/11/2022
population_comparison_intense_activity_time_weekly,1,05/31/2022
population_comparison_sleep_efficiency_daily,1,05/26/2022
population_comparison_sleep_efficiency_daily,1,05/11/2022
population_comparison_sleep_efficiency_daily,1,05/11/2022
