Start Time (UTC),End Time (UTC),Phone Model,App Version,OS,OS Version,Session Subtype,Positivity,Energy,Number of Utterances,Descriptors,Overall Positivity/Energy Bin,Positivity/Energy Bin Distribution,Amount of Speech (ms),Utterance Start Times
2021-09-25T03:39:56.0Z,2021-09-25T03:40:28.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,37,1,"[calm, relaxed, restrained]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",32000.0,[2021-09-25T03:40:33.0Z]
2021-09-25T01:39:42.0Z,2021-09-25T01:40:53.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,62,50,3,"[amused, embarrassed, interested]",Neutral,"[Happy - 1, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",71000.0,"[2021-09-25T01:39:44.0Z, 2021-09-25T01:39:51.0Z, 2021-09-25T01:40:08.0Z]"
2021-09-25T01:09:56.0Z,2021-09-25T01:11:26.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,69,54,2,"[appreciative, curious, interested]",Happy,"[Happy - 1, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",90000.0,"[2021-09-25T01:10:04.0Z, 2021-09-25T01:11:02.0Z]"
2021-09-25T00:59:51.0Z,2021-09-25T01:00:55.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,47,1,"[focused, confident, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",64000.0,[2021-09-25T01:01:18.0Z]
2021-09-25T00:49:57.0Z,2021-09-25T00:51:22.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,47,2,"[focused, confident, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",85000.0,"[2021-09-25T00:50:24.0Z, 2021-09-25T00:50:46.0Z]"
2021-09-24T21:57:50.0Z,2021-09-24T21:59:20.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,58,46,5,"[appreciative, calm, restrained]",Neutral,"[Happy - 1, Calm - 1, Neutral - 3, Sad - 0, Angry - 0]",90000.0,"[2021-09-24T21:57:52.0Z, 2021-09-24T21:58:16.0Z, 2021-09-24T21:58:23.0Z, 2021-09-24T21:58:28.0Z, 2021-09-24T21:58:55.0Z]"
2021-09-24T21:37:59.0Z,2021-09-24T21:39:29.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,54,48,4,"[curious, delighted, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 4, Sad - 0, Angry - 0]",90000.0,"[2021-09-24T21:38:20.0Z, 2021-09-24T21:38:26.0Z, 2021-09-24T21:38:31.0Z, 2021-09-24T21:39:01.0Z]"
2021-09-24T21:27:56.0Z,2021-09-24T21:29:27.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,47,10,"[focused, hesitant, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 10, Sad - 0, Angry - 0]",91000.0,"[2021-09-24T21:28:33.0Z, 2021-09-24T21:28:35.0Z, 2021-09-24T21:28:38.0Z, 2021-09-24T21:28:40.0Z, 2021-09-24T21:28:43.0Z, 2021-09-24T21:28:48.0Z, 2021-09-24T21:28:59.0Z, 2021-09-24T21:29:03.0Z, 2021-09-24T21:29:05.0Z, 2021-09-24T21:29:07.0Z]"
2021-09-24T21:17:59.0Z,2021-09-24T21:19:23.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,49,46,10,"[focused, annoyed, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 9, Sad - 1, Angry - 0]",84000.0,"[2021-09-24T21:18:32.0Z, 2021-09-24T21:18:38.0Z, 2021-09-24T21:18:40.0Z, 2021-09-24T21:18:50.0Z, 2021-09-24T21:18:52.0Z, 2021-09-24T21:19:03.0Z, 2021-09-24T21:19:25.0Z, 2021-09-24T21:18:01.0Z, 2021-09-24T21:18:04.0Z, 2021-09-24T21:18:07.0Z]"
2021-09-24T20:58:07.0Z,2021-09-24T20:58:43.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,53,47,5,"[focused, confident, content]",Neutral,"[Happy - 0, Calm - 0, Neutral - 5, Sad - 0, Angry - 0]",36000.0,"[2021-09-24T20:59:06.0Z, 2021-09-24T20:58:09.0Z, 2021-09-24T20:58:11.0Z, 2021-09-24T20:58:15.0Z, 2021-09-24T20:58:19.0Z]"
