Start Time (UTC),Positivity,Energy,Duration (ms),Sequence,Positivity/Energy Bin,Descriptors
2021-09-25T03:40:33.0Z,51,37,1390.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-25T01:39:44.0Z,80,52,3150.0,0.0,Happy,"[amused, happy, embarrassed]"
2021-09-25T01:39:51.0Z,49,50,2720.0,0.0,Neutral,"[curious, interested, skeptical]"
2021-09-25T01:40:08.0Z,54,48,2470.0,0.0,Neutral,"[focused, interested, relaxed]"
2021-09-25T01:10:04.0Z,82,59,1920.0,0.0,Happy,"[appreciative, satisfied, friendly]"
2021-09-25T01:11:02.0Z,57,50,2280.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-25T01:01:18.0Z,51,47,1930.0,0.0,Neutral,"[focused, knowledgeable, confident]"
2021-09-25T00:50:24.0Z,50,45,2440.0,0.0,Neutral,"[focused, confident, knowledgeable]"
2021-09-25T00:50:46.0Z,48,50,1730.0,0.0,Neutral,"[confident, knowledgeable, focused]"
2021-09-24T21:57:52.0Z,48,44,2530.0,0.0,Neutral,"[focused, calm, restrained]"
2021-09-24T21:58:16.0Z,65,49,1880.0,0.0,Neutral,"[friendly, happy, amused]"
2021-09-24T21:58:23.0Z,72,50,1090.0,0.0,Calm,"[satisfied, appreciative, content]"
2021-09-24T21:58:28.0Z,68,51,1520.0,0.0,Happy,"[warm, friendly, appreciative]"
2021-09-24T21:58:55.0Z,49,39,1820.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-24T21:38:20.0Z,53,48,5280.0,0.0,Neutral,"[interested, focused, hesitant]"
2021-09-24T21:38:26.0Z,49,46,3330.0,0.0,Neutral,"[focused, calm, interested]"
2021-09-24T21:38:31.0Z,55,48,11340.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-24T21:39:01.0Z,64,50,2240.0,0.0,Neutral,"[friendly, satisfied, delighted]"
2021-09-24T21:28:33.0Z,53,46,1000.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T21:28:35.0Z,46,44,2590.0,0.0,Neutral,"[hesitant, unconfident, uncomfortable]"
2021-09-24T21:28:38.0Z,51,48,2590.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T21:28:40.0Z,49,45,2230.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T21:28:43.0Z,51,47,5440.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T21:28:48.0Z,48,46,1620.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T21:28:59.0Z,51,49,4510.0,0.0,Neutral,"[focused, interested, hesitant]"
2021-09-24T21:29:03.0Z,48,41,1780.0,0.0,Neutral,"[hesitant, unconfident, restrained]"
2021-09-24T21:29:05.0Z,52,49,1850.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T21:29:07.0Z,49,46,1160.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T21:18:32.0Z,50,49,5340.0,0.0,Neutral,"[interested, focused, knowledgeable]"
2021-09-24T21:18:38.0Z,51,39,2560.0,0.0,Neutral,"[focused, calm, restrained]"
2021-09-24T21:18:40.0Z,52,47,2750.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-24T21:18:50.0Z,47,43,1670.0,0.0,Neutral,"[hesitant, unconfident, uncomfortable]"
2021-09-24T21:18:52.0Z,51,45,5060.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T21:19:03.0Z,51,48,4390.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T21:19:25.0Z,52,46,2750.0,0.0,Neutral,"[hesitant, unconfident, interested]"
2021-09-24T21:18:01.0Z,52,48,1940.0,0.0,Neutral,"[focused, interested, relaxed]"
2021-09-24T21:18:04.0Z,22,48,2490.0,0.0,Sad,"[annoyed, disgusted, irritated]"
2021-09-24T21:18:07.0Z,50,44,2870.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T20:59:06.0Z,50,38,1660.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-24T20:58:09.0Z,55,50,2450.0,0.0,Neutral,"[focused, confident, overbearing]"
2021-09-24T20:58:11.0Z,49,49,2770.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T20:58:15.0Z,57,51,1610.0,0.0,Neutral,"[focused, content, satisfied]"
