"Date","Distance","Duration","Activity","Avg.HR","Steps","Cal.Burned"
2022-08-15,4.74,3600,"Indoor Run / Jog",122,8146,632
2022-08-14,6.38,4663,"Run",128,11001,618
2022-08-12,6.21,3617,"Indoor Run / Jog",144,9306,831
2022-08-11,4.63,3712,"Run",116,7878,576
2022-08-10,7.02,4441,"Run",144,11520,863
2022-08-09,6.35,4274,"Run",145,11074,626
2022-08-08,6.35,4013,"Run",146,10360,797
2022-08-06,2.14,2267,"Walk",119,4141,290
2022-08-03,6.09,3600,"Run",149,9545,820
2022-07-30,8,5187,"Run",149,13634,1117
2022-07-28,3.16,1905,"Run",158,5020,314
2022-07-25,4.26,6268,"Run",87,8227,430
2022-07-24,3.1,1805,"Run",149,4793,415
2022-07-21,1.6,1657,"Walk",131,3001,227
2022-07-20,6.2,3689,"Run",149,9775,836
2022-07-18,9,5709,"Run",143,14918,1175
2022-07-17,3.1,1593,"Run",149,4286,404
2022-07-16,3.1,1698,"Run",149,4537,405
2022-07-14,3.76,2157,"Run",148,5684,452
2022-07-13,3.11,1912,"Run",150,4991,398
2022-07-12,3.11,1968,"Run",155,5134,421
2022-07-11,2,1409,"Run",145,3302,197
2022-07-10,3.1,2301,"Run",149,5125,429
2022-07-09,3.1,2005,"Run",157,5261,430
2022-07-08,3.11,1988,"Run",165,5202,454
2022-06-24,3.1,1554,"Run",149,4192,400
2022-06-23,3.1,1748,"Run",149,4656,410
2022-06-22,3.1,1665,"Run",149,4458,403
2022-06-19,2.66,1800,"Run",149,4713,378
2022-06-18,2.58,1698,"Run",159,4431,370
2022-06-17,2.33,1391,"Run",149,3684,315
2022-06-15,3.1,1691,"Run",149,4520,405
2022-06-12,3.1,1955,"Run",149,5052,428
2022-06-10,6.2,4182,"Run",153,10479,881
2022-06-08,3.11,1702,"Run",153,4548,407
2022-06-06,4.5,2924,"Run",145,7739,590
2022-06-05,1.88,2402,"Walk",109,3994,253
2022-06-04,6.24,3946,"Run",156,10427,856
2022-06-03,3.11,1864,"Run",152,4863,397
2022-06-01,3.1,1817,"Run",149,4822,416
2022-05-31,4.08,2377,"Run",145,4048,546
2022-05-30,3.1,1873,"Run",159,4873,418
2022-05-28,3.11,1852,"Run",162,4867,426
2022-05-27,3.1,1691,"Run",149,4520,405
2022-05-25,6.21,3735,"Run",150,9802,801
2022-05-24,3.1,1731,"Run",149,4616,408
2022-05-22,3.1,1865,"Run",149,4936,420
2022-05-20,3.1,1827,"Run",149,4845,417
2022-05-17,6.2,3843,"Run",151,10162,840
2022-05-16,3.11,1777,"Run",145,4650,395
2022-05-14,3.1,1851,"Run",149,4903,419
2022-05-13,6.2,3430,"Run",149,9155,814
2022-05-11,5,2989,"Run",146,7917,656
2022-05-09,3.11,1802,"Run",140,4782,391
2022-05-08,2.35,1376,"Run",156,3622,313
2022-05-07,2.59,1516,"Run",154,4043,348
2022-05-06,6.21,3701,"Run",148,9854,796
2022-05-05,4.52,2670,"Run",151,7087,605
2022-05-03,3.1,1665,"Run",149,4458,403
2022-05-01,3.1,1727,"Run",158,4584,402
2022-04-30,2.43,1356,"Run",163,3579,328
2022-04-29,6.2,3774,"Run",149,10012,816
2022-04-28,3.11,1659,"Run",149,4445,398
2022-04-27,3.51,1880,"Run",152,5066,444
2022-04-25,3.11,1659,"Run",150,4440,393
2022-04-23,3.1,1604,"Run",149,4312,404
2022-04-22,3.1,1700,"Run",149,4542,406
2022-04-21,3.1,1747,"Run",159,4639,412
2022-04-19,5.02,2863,"Run",152,7656,650
2022-04-18,3.1,1766,"Run",153,4696,407
2022-04-17,3.1,1800,"Run",149,4781,414
2022-04-15,3.1,1694,"Run",149,4527,405
2022-04-10,3.1,1820,"Run",149,4829,416
2022-04-09,7.53,4924,"Run",156,13023,1070
2022-04-03,0.25,145,"Run",144,372,30
2022-03-31,3.1,1761,"Run",149,4688,411
2022-03-27,0.66,394,"Run",148,999,93
2022-03-25,3.1,1704,"Run",149,4551,406
2022-03-23,3.1,1803,"Run",149,4788,415
2022-03-20,6.2,3694,"Run",149,9787,837
2022-03-19,6.2,3613,"Run",149,9593,830
2022-03-13,3.1,1847,"Run",149,4893,418
2022-03-11,6.2,3834,"Run",155,10219,817
2022-03-10,3.1,1750,"Run",149,4661,410
2022-03-09,3.1,1757,"Run",149,4678,411
2022-03-06,13.1,9189,"Run",156,22087,1854
2022-03-05,3.1,1886,"Run",149,4987,422
2022-03-01,10.51,6776,"Run",149,18259,1464
2022-02-27,6.2,3548,"Run",149,9437,824
2022-02-23,3.1,1600,"Run",149,4303,404
2022-02-21,4.07,4837,"Walk",100,5841,487
2022-02-17,3.1,1620,"Run",149,4350,403
2022-02-16,2,1132,"Run",149,3014,265
2022-02-13,3.1,1611,"Run",149,4329,403
2022-02-12,3.1,1767,"Run",149,4702,411
2022-02-11,3.1,1641,"Run",149,4401,403
2022-02-10,3.1,1521,"Run",149,4114,397
2022-02-02,3.1,1722,"Run",151,4592,399
2022-02-01,3.11,1718,"Run",150,4610,400
2022-01-31,0.44,219,"Run",156,576,54
2022-01-30,3.2,1707,"Run",149,4574,416
2022-01-29,3.29,2359,"Run",149,6147,455
2022-01-26,3.11,1727,"Run",160,4630,404
2022-01-23,3.1,1599,"Run",149,4300,404
2022-01-22,3.1,1647,"Run",149,4415,403
2022-01-20,2.5,1578,"Run",149,5532,345
2022-01-18,1.71,2547,"Walk",94,3313,244
2022-01-17,6.2,3720,"Run",149,9849,839
2022-01-15,3.1,1672,"Run",149,4475,403
2022-01-13,3.1,1775,"Run",150,4736,401
2022-01-12,3.1,1821,"Run",154,4852,408
2022-01-11,6.2,3703,"Run",156,9778,827
2022-01-10,3.1,1647,"Run",158,4217,403
2022-01-09,2.69,3130,"Walk",106,5453,394
2022-01-08,3.1,1704,"Run",149,4551,406
2022-01-03,3.1,1599,"Run",149,4300,404
2022-01-01,3.1,1575,"Run",149,4243,402
2021-12-31,3.1,1521,"Run",149,4114,397
2021-12-29,3.1,1692,"Run",149,4523,405
2021-12-28,3.1,1760,"Run",149,4685,411
2021-12-27,3.1,1686,"Run",149,4508,404
2021-12-23,6.2,3744,"Run",151,9888,816
2021-12-22,6.2,3633,"Run",149,9628,720
2021-12-20,3.23,2058,"Run",149,5418,448
2021-12-18,6.18,3397,"Run",163,9059,821
2021-12-16,3.1,1717,"Run",149,4535,401
2021-12-15,3.1,1642,"Run",149,4403,403
2021-12-14,3.1,1690,"Run",149,4518,405
2021-12-13,3.07,1774,"Run",149,4702,410
2021-12-10,6.2,3890,"Run",148,10214,870
2021-12-09,3.11,1743,"Run",156,4610,399
2021-12-05,13.13,9540,"Run",148,22488,1876
2021-12-04,6.2,3600,"Run",149,9562,829
2021-12-03,6.21,3784,"Run",157,9940,852
2021-12-02,3.58,2187,"Run",150,5802,460
2021-12-01,6.21,3840,"Run",159,10188,866
2021-11-30,3.1,2292,"Run",149,5958,420
2021-11-28,2.79,1799,"Run",159,4505,386
2021-11-23,5,2966,"Run",149,7861,674
2021-11-22,3.11,1783,"Run",150,4789,400
2021-11-20,3.1,1748,"Run",149,4656,410
2021-11-17,3.1,1723,"Run",149,4597,408
2021-11-16,3.1,1818,"Run",149,4824,416
2021-11-15,3.18,1800,"Run",149,4793,421
2021-11-14,6.3,3600,"Run",149,9577,837
2021-11-13,6.26,3600,"Run",149,9571,834
2021-11-12,3.1,1872,"Run",149,4953,421
2021-11-11,5,2582,"Run",149,6943,651
2021-11-10,3.1,1703,"Run",149,4549,406
2021-11-04,3.1,1674,"Run",149,4479,403
2021-10-30,3.1,1683,"Run",149,4501,404
2021-10-23,3.1,1777,"Run",149,4726,412
2021-10-16,10,5964,"Run",154,16017,1351
2021-10-15,3.1,1577,"Run",149,4247,402
2021-10-14,3.57,2081,"Run",143,5598,457
2021-10-13,3.56,2072,"Run",146,5526,456
2021-10-12,2.5,1450,"Run",154,3876,363
