"","Date.Sub","Date","Activity","Cal.Burned","Distance","Duration","Avg.Pace","Max.Pace","Avg.Spd","Max.Spd","Avg.HR","Steps","Minutes","day","dayofmonth","month","year"
"1","May 31, 2023",2023-05-31,"Run",441,3.78,2257,9.96,1.08,6.02,55.58,148,5956,37.62,"Wednesday",31,"May","2023"
"2","May 30, 2023",2023-05-30,"Run",435,3.73,2160,9.66,0.47,6.21,128.25,145,5683,36,"Tuesday",30,"May","2023"
"3","May 30, 2023",2023-05-29,"Run",138,1,720,12,0,5,0,NA,1876,12,"Monday",29,"May","2023"
"4","May 30, 2023",2023-05-29,"Walk",150,1,840,14,0,4.29,0,NA,2213,14,"Monday",29,"May","2023"
"5","May 29, 2023",2023-05-29,"Run",1151,9.02,5609,10.36,0.99,5.79,60.62,153,14653,93.48,"Monday",29,"May","2023"
"6","May 28, 2023",2023-05-28,"Run",480,3.78,2419,10.66,1.63,5.63,36.74,152,6279,40.32,"Sunday",28,"May","2023"
"7","May 27, 2023",2023-05-27,"Run",549,4.58,2765,10.05,0.47,5.97,128.42,153,7377,46.08,"Saturday",27,"May","2023"
"8","May 26, 2023",2023-05-26,"Run",542,4.61,2781,10.06,8.5,5.97,7.05,148,7409,46.35,"Friday",26,"May","2023"
"9","May 25, 2023",2023-05-25,"Run",622,4.62,2734,9.87,0.96,6.08,62.28,0,6938,45.57,"Thursday",25,"May","2023"
"10","May 25, 2023",2023-05-25,"Run",538,4.62,2650,9.56,0.42,6.28,141.55,148,7002,44.17,"Thursday",25,"May","2023"
"11","May 24, 2023",2023-05-24,"Run",541,4.65,2704,9.68,0.46,6.2,131.42,149,7110,45.07,"Wednesday",24,"May","2023"
"12","May 22, 2023",2023-05-22,"Run",543,4.65,2731,9.78,5.35,6.14,11.21,145,7143,45.52,"Monday",22,"May","2023"
"13","May 20, 2023",2023-05-20,"Run",569,4.24,2834,11.13,0.48,5.39,124.24,152,7633,47.23,"Saturday",20,"May","2023"
"14","May 19, 2023",2023-05-19,"Run",624,4.65,2722,9.75,0.45,6.15,133.94,0,6847,45.37,"Friday",19,"May","2023"
"15","May 17, 2023",2023-05-17,"Run",603,4.5,2635,9.76,0.99,6.15,60.6,0,6853,43.92,"Wednesday",17,"May","2023"
"16","May 16, 2023",2023-05-16,"Run",539,4.6,2877,10.42,0.48,5.76,123.97,145,7650,47.95,"Tuesday",16,"May","2023"
"17","May 14, 2023",2023-05-14,"Run",401,3.26,2156,11.01,3.58,5.45,16.74,128,5550,35.93,"Sunday",14,"May","2023"
"18","May 13, 2023",2023-05-13,"Run",621,4.61,2732,9.88,0.89,6.07,67.67,0,7056,45.53,"Saturday",13,"May","2023"
"19","May 11, 2023",2023-05-11,"Run",559,4.59,3578,12.98,0.91,4.62,65.81,137,7603,59.63,"Thursday",11,"May","2023"
"20","May 10, 2023",2023-05-10,"Run",564,4.54,3191,11.72,0.81,5.12,74,147,7168,53.18,"Wednesday",10,"May","2023"
"21","May 8, 2023",2023-05-08,"Run",395,3.1,1764,9.47,0.97,6.34,61.83,168,4566,29.4,"Monday",8,"May","2023"
"22","May 6, 2023",2023-05-06,"Run",552,4.63,2791,10.03,0.41,5.98,145.19,156,7220,46.52,"Saturday",6,"May","2023"
"23","May 5, 2023",2023-05-05,"Run",343,2.65,1562,9.8,0.51,6.12,118.78,165,4084,26.03,"Friday",5,"May","2023"
"24","May 1, 2023",2023-05-01,"Run",408,2.56,1519,9.89,1.76,6.07,34.03,169,3971,25.32,"Monday",1,"May","2023"
"25","April 29, 2023",2023-04-29,"Run",633,5,3048,10.16,0.49,5.91,123.64,164,7980,50.8,"Saturday",29,"April","2023"
"26","April 28, 2023",2023-04-28,"Run",420,3.15,1816,9.62,5.46,6.24,10.98,0,4754,30.27,"Friday",28,"April","2023"
"27","April 27, 2023",2023-04-27,"Run",346,2.52,1531,10.13,3.94,5.92,15.25,173,3965,25.52,"Thursday",27,"April","2023"
"28","April 22, 2023",2023-04-22,"Run",520,4,2428,10.11,0.03,5.94,1842.88,163,6301,40.47,"Saturday",22,"April","2023"
"29","April 18, 2023",2023-04-18,"Run",478,3.65,2587,11.82,1.06,5.08,56.57,152,5918,43.12,"Tuesday",18,"April","2023"
"30","April 17, 2023",2023-04-17,"Run",418,3.1,1890,10.15,2.24,5.91,26.78,164,4895,31.5,"Monday",17,"April","2023"
"31","April 10, 2023",2023-04-10,"Run",430,3.12,2178,11.65,1.2,5.15,49.8,158,5044,36.3,"Monday",10,"April","2023"
"32","April 7, 2023",2023-04-07,"Run",414,3.1,1902,10.21,0.97,5.88,61.9,165,4961,31.7,"Friday",7,"April","2023"
"33","April 2, 2023",2023-04-02,"Run",390,2.87,3141,18.23,1.85,3.29,32.47,132,4864,52.35,"Sunday",2,"April","2023"
"34","April 1, 2023",2023-04-01,"Run",434,3.11,1908,10.23,0.45,5.87,133.05,170,4961,31.8,"Saturday",1,"April","2023"
"35","March 31, 2023",2023-03-31,"Run",427,3.1,1946,10.46,0,5.73,0,148,5130,32.43,"Friday",31,"March","2023"
"36","March 29, 2023",2023-03-29,"Run",347,2.92,1870,10.66,1.36,5.63,44.26,146,4589,31.17,"Wednesday",29,"March","2023"
"37","March 26, 2023",2023-03-26,"Run",425,3.1,1921,10.33,0,5.81,0,NA,5070,32.02,"Sunday",26,"March","2023"
"38","March 22, 2023",2023-03-22,"Run",537,4.43,2827,10.63,0.45,5.64,133.3,142,7462,47.12,"Wednesday",22,"March","2023"
"39","March 17, 2023",2023-03-16,"Run",323,3.11,1869,10.03,0.75,5.98,80.54,153,4879,31.15,"Thursday",16,"March","2023"
"40","March 14, 2023",2023-03-14,"Run",559,4.66,3453,12.34,1.64,4.86,36.69,130,7620,57.55,"Tuesday",14,"March","2023"
"41","March 13, 2023",2023-03-13,"Run",618,5.02,3029,10.05,0.98,5.97,61.25,158,7910,50.48,"Monday",13,"March","2023"
"42","March 11, 2023",2023-03-11,"Run",422,3.1,1887,10.15,0,5.91,0,NA,4989,31.45,"Saturday",11,"March","2023"
"43","March 10, 2023",2023-03-10,"Run",600,4.71,3236,11.45,1.11,5.24,53.86,145,7646,53.93,"Friday",10,"March","2023"
"44","March 8, 2023",2023-03-08,"Run",348,2.9,1703,9.78,1.04,6.14,57.47,148,4439,28.38,"Wednesday",8,"March","2023"
"45","March 5, 2023",2023-03-05,"Run",442,3.67,3030,13.75,1.03,4.36,57.99,124,6513,50.5,"Sunday",5,"March","2023"
"46","March 3, 2023",2023-03-03,"Run",563,4.52,2726,10.04,0.44,5.97,135.88,159,7226,45.43,"Friday",3,"March","2023"
"47","Feb. 27, 2023",2023-02-27,"Run",545,4.41,2742,10.36,0.48,5.79,126.03,154,7223,45.7,"Monday",27,"February","2023"
"48","Feb. 26, 2023",2023-02-26,"Run",416,3.1,1820,9.78,0,6.13,0,NA,4829,30.33,"Sunday",26,"February","2023"
"49","Feb. 20, 2023",2023-02-20,"Run",511,4.15,2388,9.59,1.39,6.26,43.02,159,6265,39.8,"Monday",20,"February","2023"
"50","Feb. 19, 2023",2023-02-19,"Run",420,3.1,2295,12.34,0,4.86,0,NA,5965,38.25,"Sunday",19,"February","2023"
"51","Feb. 18, 2023",2023-02-18,"Run",418,3.1,1845,9.92,0,6.05,0,144,4888,30.75,"Saturday",18,"February","2023"
"52","Feb. 18, 2023",2023-02-17,"Run",421,3.1,1875,10.08,0,5.95,0,150,4960,31.25,"Friday",17,"February","2023"
"53","Feb. 12, 2023",2023-02-12,"Run",638,5.16,3808,12.3,0.12,4.88,489.4,138,8870,63.47,"Sunday",12,"February","2023"
"54","Feb. 11, 2023",2023-02-11,"Run",440,3.11,2089,11.2,0.29,5.36,209.68,148,4839,34.82,"Saturday",11,"February","2023"
"55","Feb. 5, 2023",2023-02-05,"Run",806,6.28,4026,10.68,0.92,5.62,65.27,155,10459,67.1,"Sunday",5,"February","2023"
"56","Jan. 29, 2023",2023-01-29,"Run",515,4.16,3479,13.94,0.46,4.3,131.69,127,7337,57.98,"Sunday",29,"January","2023"
"57","Jan. 23, 2023",2023-01-23,"Run",420,3.1,1870,10.05,11.26,5.97,5.33,148,4816,31.17,"Monday",23,"January","2023"
"58","Jan. 21, 2023",2023-01-21,"Run",424,3.1,1911,10.27,11.11,5.84,5.4,142,4850,31.85,"Saturday",21,"January","2023"
"59","Jan. 16, 2023",2023-01-16,"Run",772,6.22,3936,10.55,0.48,5.69,125.06,151,10453,65.6,"Monday",16,"January","2023"
"60","Jan. 13, 2023",2023-01-13,"Run",383,3.11,1682,9.02,0.42,6.65,143.53,162,4387,28.03,"Friday",13,"January","2023"
"61","Jan. 11, 2023",2023-01-11,"Run",388,3.65,3252,14.83,1.09,4.05,54.89,0,6244,54.2,"Wednesday",11,"January","2023"
"62","Jan. 11, 2023",2023-01-07,"Run",1878,13.1,9056,11.52,0.69,5.21,86.84,140,21488,150.93,"Saturday",7,"January","2023"
"63","Dec. 31, 2022",2022-12-31,"Run",828,6.21,4067,10.91,0.73,5.5,81.65,159,10739,67.78,"Saturday",31,"December","2022"
"64","Dec. 26, 2022",2022-12-26,"Run",428,3.1,1960,10.54,4.13,5.69,14.54,144,5175,32.67,"Monday",26,"December","2022"
"65","Dec. 25, 2022",2022-12-25,"Run",760,6.21,3781,10.13,8.79,5.92,6.83,154,9912,63.02,"Sunday",25,"December","2022"
"66","Dec. 24, 2022",2022-12-24,"Run",411,3.1,1763,9.48,0,6.33,0,NA,4692,29.38,"Saturday",24,"December","2022"
"67","Dec. 24, 2022",2022-12-23,"Run",410,3.1,1750,9.41,0,6.38,0,NA,4661,29.17,"Friday",23,"December","2022"
"68","Dec. 20, 2022",2022-12-20,"Run",420,3.1,1870,10.05,0,5.97,0,NA,4948,31.17,"Tuesday",20,"December","2022"
"69","Dec. 20, 2022",2022-12-20,"Run",411,3.1,1760,9.46,0,6.34,0,NA,4685,29.33,"Tuesday",20,"December","2022"
"70","Dec. 19, 2022",2022-12-18,"Run",410,3.1,1754,9.43,0,6.36,0,NA,4671,29.23,"Sunday",18,"December","2022"
"71","Dec. 19, 2022",2022-12-17,"Run",410,3.1,1748,9.4,0,6.38,0,NA,4656,29.13,"Saturday",17,"December","2022"
"72","Dec. 14, 2022",2022-12-14,"Run",272,2.02,1201,9.91,2.38,6.05,25.2,150,1685,20.02,"Wednesday",14,"December","2022"
"73","Dec. 12, 2022",2022-12-12,"Run",418,3.1,1836,9.87,9.02,6.08,6.65,160,4716,30.6,"Monday",12,"December","2022"
