Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Dad,"Ozark: Season 4: ""A Hard Way to Go""",Amazon FTVET31DOVI2020 Smart TV,2022-05-18 06:16:29,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5005},{""eventType"":""stopped"",""sessionOffsetMs"":2147,""mediaOffsetMs"":5005}]"
Dad,"Ozark: Season 4: ""Mud""",Amazon FTVET31DOVI2020 Smart TV,2022-05-18 05:21:42,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":2095,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":24127,""mediaOffsetMs"":28032},{""eventType"":""playing"",""sessionOffsetMs"":30143,""mediaOffsetMs"":34048},{""eventType"":""playing"",""sessionOffsetMs"":38143,""mediaOffsetMs"":42048},{""eventType"":""playing"",""sessionOffsetMs"":44159,""mediaOffsetMs"":48064},{""eventType"":""paused"",""sessionOffsetMs"":3287718,""mediaOffsetMs"":3290287},{""eventType"":""stopped"",""sessionOffsetMs"":3288313,""mediaOffsetMs"":3290595}]"
Dad,"Ozark: Season 4: ""Trouble The Water""",Amazon FTVET31DOVI2020 Smart TV,2022-05-18 04:31:07,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":2052,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":30100,""mediaOffsetMs"":34048},{""eventType"":""playing"",""sessionOffsetMs"":38100,""mediaOffsetMs"":42048},{""eventType"":""playing"",""sessionOffsetMs"":44116,""mediaOffsetMs"":48064},{""eventType"":""playing"",""sessionOffsetMs"":60116,""mediaOffsetMs"":64064},{""eventType"":""paused"",""sessionOffsetMs"":3035671,""mediaOffsetMs"":3038535},{""eventType"":""stopped"",""sessionOffsetMs"":3036615,""mediaOffsetMs"":3038532}]"
Dad,"Ozark: Season 4: ""Pound of Flesh and Still Kickin'""",Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:28:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1724000},{""eventType"":""playing"",""sessionOffsetMs"":3285,""mediaOffsetMs"":1724000},{""eventType"":""paused"",""sessionOffsetMs"":13616,""mediaOffsetMs"":1730353},{""eventType"":""reposition"",""sessionOffsetMs"":13616,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":14799,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":42831,""mediaOffsetMs"":28032},{""eventType"":""playing"",""sessionOffsetMs"":48847,""mediaOffsetMs"":34048},{""eventType"":""playing"",""sessionOffsetMs"":56847,""mediaOffsetMs"":42048},{""eventType"":""paused"",""sessionOffsetMs"":3735911,""mediaOffsetMs"":3720967},{""eventType"":""stopped"",""sessionOffsetMs"":3737744,""mediaOffsetMs"":3721257}]"
Dad,Season 1 Plot Clip: The Lincoln Lawyer,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:28:48,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2638,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2827,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5223,""mediaOffsetMs"":39}]"
Dad,Season 7 Supporting Character Clip: Grace and Frankie,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:28:28,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3577,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":17021,""mediaOffsetMs"":13358},{""eventType"":""stopped"",""sessionOffsetMs"":19478,""mediaOffsetMs"":12991}]"
Dad,Season 1 Trailer: Welcome to Eden,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:26:33,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":3448,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":112609,""mediaOffsetMs"":108000}]"
Dad,Outlander: Season 1_hook_primary_16x9,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:26:18,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3741,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":14980,""mediaOffsetMs"":11010},{""eventType"":""stopped"",""sessionOffsetMs"":17370,""mediaOffsetMs"":11110}]"
Dad,Season 4 Trailer: The Circle,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:26:05,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":3269,""mediaOffsetMs"":20},{""eventType"":""paused"",""sessionOffsetMs"":14259,""mediaOffsetMs"":10812},{""eventType"":""stopped"",""sessionOffsetMs"":16656,""mediaOffsetMs"":10849}]"
Dad,Workin' Moms: Season 1_hook_primary_16x9,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:25:24,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3439,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":40595,""mediaOffsetMs"":36994},{""eventType"":""stopped"",""sessionOffsetMs"":42082,""mediaOffsetMs"":37055}]"
Dad,Season 2 Moment of High Emotion Clip: Bling Empire,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:25:15,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3542,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":9382,""mediaOffsetMs"":5592},{""eventType"":""stopped"",""sessionOffsetMs"":11907,""mediaOffsetMs"":5661}]"
Dad,Season 4 Part 2 Cliffhanger Clip: Ozark,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:25:11,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4292,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4448,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":6834,""mediaOffsetMs"":24}]"
Dad,Season 1 Plot Clip: The Lincoln Lawyer,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:25:07,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3021,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3304,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5228,""mediaOffsetMs"":63}]"
Dad,Season 1 Plot Clip: The Lincoln Lawyer,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:25:04,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2981,""mediaOffsetMs"":0}]"
Dad,Season 1 Plot Clip: The Lincoln Lawyer,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:24:57,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":6587,""mediaOffsetMs"":0}]"
Dad,Season 7 Act 2 Conflict Clip: Grace and Frankie,Amazon FTVET31DOVI2020 Smart TV,2022-05-18 03:24:55,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2833,""mediaOffsetMs"":0}]"
Dad,Inciting Incident Clip: Senior Year,Netflix Windows App - Cadmium Windows Mobile,2022-05-18 01:40:02,US,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4030,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":22635,""mediaOffsetMs"":16000},{""eventType"":""playing"",""sessionOffsetMs"":30903,""mediaOffsetMs"":24000},{""eventType"":""playing"",""sessionOffsetMs"":62976,""mediaOffsetMs"":56000},{""eventType"":""playing"",""sessionOffsetMs"":66988,""mediaOffsetMs"":60000},{""eventType"":""playing"",""sessionOffsetMs"":75009,""mediaOffsetMs"":68000},{""eventType"":""stopped"",""sessionOffsetMs"":78185,""mediaOffsetMs"":71176}]"
Dad,"Ozark: Season 4: ""Pound of Flesh and Still Kickin'""",Netflix Windows App - Cadmium Windows Mobile,2022-05-17 01:34:11,US,"[{""eventType"":""start"",""sessionOffsetMs"":22,""mediaOffsetMs"":1281000},{""eventType"":""playing"",""sessionOffsetMs"":2711,""mediaOffsetMs"":1281000},{""eventType"":""stopped"",""sessionOffsetMs"":444711,""mediaOffsetMs"":1723000}]"
Dad,Season 1 Main Character Intro Clip: The Lincoln Lawyer,Netflix Windows App - Cadmium Windows Mobile,2022-05-17 01:33:38,US,"[{""eventType"":""start"",""sessionOffsetMs"":360,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2578,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5983,""mediaOffsetMs"":3000},{""eventType"":""stopped"",""sessionOffsetMs"":32476,""mediaOffsetMs"":3000}]"
Dad,"Ozark: Season 4: ""Pound of Flesh and Still Kickin'""",Edge OSS - Mac (Cadmium),2022-05-15 05:55:58,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":956,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":1286391,""mediaOffsetMs"":1285364},{""eventType"":""stopped"",""sessionOffsetMs"":3087059,""mediaOffsetMs"":1285373}]"
Dad,"Ozark: Season 4: ""You're the Boss""",Edge OSS - Mac (Cadmium),2022-05-15 05:50:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":3236150},{""eventType"":""playing"",""sessionOffsetMs"":1760,""mediaOffsetMs"":3236150},{""eventType"":""stopped"",""sessionOffsetMs"":338668,""mediaOffsetMs"":3572935}]"
Dad,"Ozark: Season 4: ""You're the Boss""",Edge OSS - Mac (Cadmium),2022-05-14 04:26:13,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":981,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":3242769,""mediaOffsetMs"":3241493},{""eventType"":""stopped"",""sessionOffsetMs"":5042952,""mediaOffsetMs"":3241596}]"
Dad,"Ozark: Season 4: ""Pick a God and Pray""",Edge OSS - Mac (Cadmium),2022-05-14 04:05:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2237653},{""eventType"":""playing"",""sessionOffsetMs"":1739,""mediaOffsetMs"":2237653},{""eventType"":""stopped"",""sessionOffsetMs"":1264619,""mediaOffsetMs"":3500400}]"
Dad,"Ozark: Season 4: ""Pick a God and Pray""",Edge OSS - Mac (Cadmium),2022-05-14 02:28:03,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":827,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":17725,""mediaOffsetMs"":16532},{""eventType"":""playing"",""sessionOffsetMs"":71294,""mediaOffsetMs"":16785},{""eventType"":""paused"",""sessionOffsetMs"":2292913,""mediaOffsetMs"":2237917},{""eventType"":""stopped"",""sessionOffsetMs"":4092904,""mediaOffsetMs"":2238024}]"
Dad,"Ozark: Season 4: ""The Cousin of Death""",Edge OSS - Mac (Cadmium),2022-05-14 02:23:28,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2811726},{""eventType"":""playing"",""sessionOffsetMs"":2067,""mediaOffsetMs"":2811726},{""eventType"":""stopped"",""sessionOffsetMs"":275183,""mediaOffsetMs"":3084540}]"
Dad,Season 1 Main Character Intro Clip: The Pentaverate,Netflix Windows App - Cadmium Windows Mobile,2022-05-12 04:26:36,US,[]
