Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Dad,US,Smart TV,0,vin,"I Love You, Man",play,video_info,2022-03-06 04:09:50
Dad,US,Smart TV,0,vin,"I Love You, Man",view_video_info,suggestion_title_results,2022-03-06 04:09:45
Dad,US,Smart TV,0,vin,Vince Vaughn,view_suggestion_info,suggestion_results,2022-03-06 04:08:36
Dad,US,Smart TV,0,s,Squid Game,play,video_info,2022-01-02 03:17:15
Dad,US,Smart TV,0,s,Squid Game,view_video_info,title_results,2022-01-02 03:17:10
Dad,US,Smart TV,0,s,Squid Game,play,video_info,2021-12-08 01:14:09
Dad,US,Smart TV,0,s,Squid Game,view_video_info,title_results,2021-12-08 01:14:04
Dad,US,Smart TV,0,s,Squid Game,play,video_info,2021-11-23 04:09:45
Dad,US,Smart TV,0,s,Squid Game,view_video_info,title_results,2021-11-23 04:09:40
Dad,US,HTML 5,0,american,,play,title_results,2021-09-27 00:27:14
Dad,US,HTML 5,0,american,American Horror Story,play,title_results,2021-09-27 00:26:36
Dad,US,HTML 5,0,frankie,,play,video_info,2021-09-27 00:23:51
Dad,US,HTML 5,0,frankie,,play,,2021-09-26 23:44:15
Dad,US,HTML 5,0,frankie,,play,title_results,2021-09-26 23:09:34
Dad,US,Smart TV,0,fr,Grace and Frankie,view_video_info,title_results,2021-09-22 22:44:10
Dad,US,Streaming Stick,0,acce,Accepted,play,video_info,2021-09-16 16:43:02
Dad,US,Streaming Stick,0,acce,Accepted,view_video_info,title_results,2021-09-16 16:42:59
Dad,US,iPhone,0,hemsworth,Extraction,play,video_info,2021-07-17 14:19:40
Dad,US,iPhone,0,hemsworth,Extraction,view_video_info,title_results,2021-07-17 14:19:36
Dad,US,iPhone,0,dick and,Fun with Dick & Jane,view_video_info,title_results,2021-07-13 00:39:23
Dad,US,iPhone,0,alamo,The Siege of Jadotville,view_video_info,title_results,2021-07-12 00:01:03
Dad,US,iPhone,0,alamo,Mr. Right,view_video_info,title_results,2021-07-12 00:00:37
Dad,US,iPhone,0,alamo,Free State of Jones,view_video_info,title_results,2021-07-12 00:00:16
Dad,US,iPhone,0,supernatu,Supernatural,play,video_info,2021-01-02 18:09:04
Dad,US,iPhone,0,supernatu,Supernatural,view_video_info,title_results,2021-01-02 18:08:58
Dad,US,Smart TV,0,dare,Marvel's Daredevil,play,video_info,2020-10-25 13:37:07
