Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Mom,NFCDIE-03-J1P4DH3FLHXDC85JHQUPNC84H3VRT1,Edge OSS - Windows (Cadmium),,,,,,,,,
Guest,NFCDIE-03-J1P4DH3FLHXDC85JHQUPNC84H3VRT1,Edge OSS - Windows (Cadmium),,,,,,,,,
Tree,NFCDIE-03-J1P4DH3FLHXDC85JHQUPNC84H3VRT1,Edge OSS - Windows (Cadmium),,,,,,,,,
Dad,NFCDIE-03-J1P4DH3FLHXDC85JHQUPNC84H3VRT1,Edge OSS - Windows (Cadmium),,,,,,,,,
Mom,NFANDROID2-PRV-FTVET31DOVI2020-AMAZOAFTDCT31-16306-1360699F7E985F3E9E189C9F4A7E02B2A6B38ADD14DBC1B0F7250F15D0B6A1E1,Amazon FTVET31DOVI2020 Smart TV,2020-11-04T04:12:01.356Z,2022-05-22T16:23:29.855Z,2020-11-04T04:12:01.356Z,2022-05-22T14:59:13.824Z,2020-11-04T04:12:01.356Z,2022-05-22T16:23:29.855Z,2020-11-04T04:12:01.356Z,2022-05-21T15:56:07.156Z,
Tree,NFANDROID2-PRV-FTVET31DOVI2020-AMAZOAFTDCT31-16306-1360699F7E985F3E9E189C9F4A7E02B2A6B38ADD14DBC1B0F7250F15D0B6A1E1,Amazon FTVET31DOVI2020 Smart TV,2020-11-04T04:12:01.356Z,2022-05-22T16:23:29.855Z,2020-11-04T04:12:01.356Z,2022-05-22T14:59:13.824Z,2020-11-26T23:48:12.835Z,2022-05-22T14:59:13.824Z,2020-11-26T23:48:12.835Z,2022-05-22T14:59:13.824Z,
Tree,RKU-7XXXXHYN00N2125085,Roku Longview HDR10 Smart TV,2020-03-24T23:24:11.832Z,2022-05-19T13:10:54.556Z,2020-06-01T05:07:10.932Z,2022-05-19T13:10:54.556Z,2020-03-24T23:24:11.832Z,2022-05-19T13:10:54.556Z,2020-06-10T03:00:21.276Z,2022-05-19T13:10:54.556Z,
Mom,RKU-7XXXXHYN00N2125085,Roku Longview HDR10 Smart TV,2020-03-24T23:24:11.832Z,2022-05-19T13:10:54.556Z,2020-06-01T05:07:10.932Z,2022-05-19T13:10:54.556Z,2020-06-01T05:06:42.113Z,2022-05-19T06:07:20.568Z,2020-06-01T05:07:10.932Z,2022-05-19T06:07:20.568Z,
Dad,NFAPPL-02-IPHONE14=5-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPhone 13,,,,,,,,,
Mom,NFAPPL-02-IPHONE14=5-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPhone 13,,,,,,,,,
Guest,NFAPPL-02-IPHONE14=5-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPhone 13,,,,,,,,,
Tree,NFAPPL-02-IPHONE14=5-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPhone 13,,,,,,,,,
Dad,NFANDROID2-PRV-FTVET31DOVI2020-AMAZOAFTDCT31-16306-1360699F7E985F3E9E189C9F4A7E02B2A6B38ADD14DBC1B0F7250F15D0B6A1E1,Amazon FTVET31DOVI2020 Smart TV,2020-11-04T04:12:01.356Z,2022-05-22T16:23:29.855Z,2020-11-04T04:12:01.356Z,2022-05-22T14:59:13.824Z,2021-02-06T18:11:50.143Z,2022-05-18T06:16:29.872Z,2021-02-06T18:11:50.143Z,2022-05-18T05:21:42.644Z,
Dad,NFUWA-001-C3D330AF24AEFEDDD7EA820CF91B1E35610E260DFD206CAA3AE089B7EF309AF0B955552FD1C117C9E66746E587E2DB82586168A7234710756822439AB2960F52,Netflix Windows App - Cadmium Windows Mobile,2022-02-27T05:52:33.084Z,2022-05-18T01:40:02.276Z,2022-03-20T14:31:16.251Z,2022-05-17T01:34:11.692Z,2022-02-27T05:52:33.084Z,2022-05-18T01:40:02.276Z,2022-03-20T14:31:16.251Z,2022-05-17T01:34:11.692Z,
Dad,NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,Edge OSS - Mac (Cadmium),2021-03-27T20:25:27.734Z,2022-05-15T05:55:58.900Z,2021-03-27T20:25:42.854Z,2022-05-15T05:55:58.900Z,2021-03-27T20:25:27.734Z,2022-05-15T05:55:58.900Z,2021-03-27T20:25:42.854Z,2022-05-15T05:55:58.900Z,
Mom,RKU-7XXXXDYS0046097619,Roku Longview DV Smart TV,2019-10-31T00:38:38.540Z,2022-05-10T01:22:28.209Z,2019-11-08T23:06:27.464Z,2022-05-10T01:22:28.209Z,2020-01-05T17:50:39.580Z,2022-05-10T01:22:28.209Z,2020-06-05T18:06:52.640Z,2022-05-10T01:22:28.209Z,
