Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID2-PRV-FTVET31DOVI2020-AMAZOAFTDCT31-16306-1360699F7E985F3E9E189C9F4A7E02B2A6B38ADD14DBC1B0F7250F15D0B6A1E1,US,Amazon FTVET31DOVI2020 Smart TV,Amazon FTVET31DOVI2020 Smart TV,76.185.170.28,Texas,2022-05-22T14:56:25.205Z
RKU-7XXXXHYN00N2125085,US,Roku TV 7XXXX,Roku Longview HDR10 Smart TV,76.185.170.28,Texas,2022-05-19T12:50:17.331Z
NFUWA-001-C3D330AF24AEFEDDD7EA820CF91B1E35610E260DFD206CAA3AE089B7EF309AF0B955552FD1C117C9E66746E587E2DB82586168A7234710756822439AB2960F52,US,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,76.185.170.28,Texas,2022-05-18T01:40:02.277Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),76.185.170.28,Texas,2022-05-15T05:50:20.228Z
RKU-7XXXXDYS0046097619,US,Roku TV 7XXXX,Roku Longview DV Smart TV,76.185.170.28,Texas,2022-05-10T01:21:26.445Z
NFAPPL-02-IPHONE12=1-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,US,Apple iPhone 11,Apple iPhone 11,2600:100c:b04b:e707:ed13:bb8:b41a:59dc,Texas,2022-05-03T05:01:02.964Z
NFXBSX-02-1AB85J0902SMJ805JZYCVDWPFCRAA674C47P38U8B4CNM9ZKK592,US,Microsoft Xbox Series S,Microsoft Xbox Series S,72.66.72.74,Washington DC,2022-04-10T01:42:17.527Z
RKU-380XX-YF000S455300,US,Roku Streaming Player 38XXX,Roku Amarillo1080 Set Top Box,76.185.170.28,Texas,2022-04-03T16:27:41.674Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-16384-FBAC0857D16219F8D782F13C51844802F10DC2B4BD3BF6DB6E11C5A15C751D7C,US,FireTV Stick 2016,FireTV Stick 2016,76.185.170.28,Texas,2022-03-18T06:03:14.043Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),76.185.170.28,Texas,2022-02-28T04:31:48.464Z
NFUWA-001-C3D330AF24AEFEDDD7EA820CF91B1E35610E260DFD206CAA3AE089B7EF309AF0B955552FD1C117C9E66746E587E2DB82586168A7234710756822439AB2960F52,US,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,76.185.170.28,Texas,2022-02-27T05:52:33.084Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),2603:8081:5302:3f85:e441:e6a2:1ec2:3ad5,Texas,2022-02-21T15:30:48.829Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),2603:8081:5302:3f85:846c:6c59:5097:b7b7,Texas,2022-02-19T17:09:49.307Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),2603:8081:5302:3f85:846c:6c59:5097:b7b7,Texas,2022-02-14T01:39:39.734Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),2603:8081:5302:3f85:e905:d3e8:d386:affa,Texas,2022-02-12T23:27:13.486Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),2603:8081:5302:3f85:e905:d3e8:d386:affa,Texas,2022-02-09T03:42:37.327Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),2603:8081:5302:3f85:e536:c5bf:2faa:8822,Texas,2022-02-08T02:14:02.958Z
NFCDIE-04-H5Z53EJ7VD8AE42P4R74QHA8PTJVGV,US,Edge OSS - Mac (Cadmium),Edge OSS - Mac (Cadmium),2603:8081:5302:3f85:e536:c5bf:2faa:8822,Texas,2022-02-06T15:20:53.334Z
NFUWA-001-BF805D3BCB0E01B1DE527AF8F83F53279D629D0B7C5E4A7BB5926E119144982D,US,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,76.185.170.28,Texas,2022-01-31T05:22:46.882Z
NFAPPL-02-IPHONE12=1-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,US,Apple iPhone 11,Apple iPhone 11,76.185.170.28,Texas,2022-01-30T21:47:06.107Z
