Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Dad,2022-05-19 03:22:14,NEW_DEVICE_LOGIN,EMAIL,US,en,en,,GMAIL.COM,,,,0
Dad,2022-05-18 18:24:20,Inapp Tudum,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-17 18:29:43,Inapp Tudum,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-16 20:52:41,PUSH_COMING_SOON,PUSH,US,en,en,,GMAIL.COM,,,APPLE_iPhone12-1,0
Dad,2022-05-16 10:53:54,Inapp Coming Soon,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-15 19:16:46,PUSH_NEW_ARRIVALS,PUSH,US,en,en,The Lincoln Lawyer,GMAIL.COM,,,APPLE_iPhone12-1,0
Dad,2022-05-15 18:34:03,Inapp Tudum,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-15 13:29:22,Inapp New Arrivals,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-14 19:37:37,PUSH_NEW_ARRIVALS,PUSH,US,en,en,Operation Mincemeat,GMAIL.COM,,,APPLE_iPhone12-1,0
Dad,2022-05-14 13:15:29,Inapp New Arrivals,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-09 19:56:24,PUSH_NEW_ARRIVALS,PUSH,US,en,en,Welcome to Eden,GMAIL.COM,,,APPLE_iPhone12-1,0
Dad,2022-05-09 12:01:59,Inapp New Arrivals,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-07 20:54:29,PUSH_NEW_ARRIVALS,PUSH,US,en,en,The Gentlemen,GMAIL.COM,,,APPLE_iPhone12-1,0
Dad,2022-05-07 20:54:29,PUSH_NEW_ARRIVALS,PUSH,US,en,en,The Gentlemen,GMAIL.COM,,,APPLE_iPad11-2,0
Dad,2022-05-07 09:01:10,Inapp New Arrivals,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-05-05 20:13:09,PUSH_NEW_ARRIVALS,PUSH,US,en,en,The Pentaverate,GMAIL.COM,,,APPLE_iPad11-2,0
Dad,2022-05-05 20:13:09,PUSH_NEW_ARRIVALS,PUSH,US,en,en,The Pentaverate,GMAIL.COM,,,APPLE_iPhone12-1,0
Dad,2022-05-05 10:03:58,Inapp New Arrivals,NOTIFICATIONS,US,en-US,,,GMAIL.COM,,,,0
Dad,2022-04-30 20:23:08,PUSH_NEW_ARRIVALS,PUSH,US,en,en,The Mystery of Marilyn Monroe: The Unheard Tapes,GMAIL.COM,,,APPLE_iPhone12-1,0
Dad,2022-04-30 20:23:08,PUSH_NEW_ARRIVALS,PUSH,US,en,en,The Mystery of Marilyn Monroe: The Unheard Tapes,GMAIL.COM,,,APPLE_iPad11-2,0
