Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-05-20,2022-05-20,2022-06-19,SUBSCRIPTION,AMEX,2008,,PAYMENTECH,9.99,USD,0.7,10.69,SALE,APPROVED,SETTLED,US,2022-06-20
2022-05-20,2022-05-20,2022-06-19,SUBSCRIPTION,AMEX,2008,,PAYMENTECH,9.99,USD,0.7,10.69,SALE,PENDING,SETTLED,US,2022-06-20
2022-05-20,,,payment_transaction,CC,2008,,,,USD,,10.69,SALE,APPROVED,,US,
2022-05-20,2022-05-20,2022-06-19,SUBSCRIPTION,AMEX,2008,,PAYMENTECH,9.99,USD,0.7,10.69,SALE,NEW,SETTLED,US,2022-06-20
2022-05-20,,,payment_transaction,CC,2008,,,,USD,,10.69,SALE,NEW,,US,
2022-05-20,,,payment_transaction,CC,2008,,,,USD,,10.69,SALE,PENDING,,US,
2022-04-20,2022-04-20,2022-05-19,SUBSCRIPTION,AMEX,2008,,VANTIV,9.99,USD,0.7,10.69,SALE,NEW,SETTLED,US,2022-05-20
2022-04-20,2022-04-20,2022-05-19,SUBSCRIPTION,AMEX,2008,,VANTIV,9.99,USD,0.7,10.69,SALE,APPROVED,SETTLED,US,2022-05-20
2022-04-20,,,payment_transaction,CC,2008,,,,USD,,10.69,SALE,APPROVED,,US,
2022-04-20,,,payment_transaction,CC,2008,,,,USD,,10.69,SALE,NEW,,US,
2022-03-20,2022-03-20,2022-04-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,NEW,SETTLED,US,2022-04-20
2022-03-20,2022-03-20,2022-04-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,APPROVED,SETTLED,US,2022-04-20
2022-03-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,NEW,,US,
2022-03-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,APPROVED,,US,
2022-02-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,APPROVED,,US,
2022-02-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,NEW,,US,
2022-02-20,2022-02-20,2022-03-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,NEW,SETTLED,US,2022-03-20
2022-02-20,2022-02-20,2022-03-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,APPROVED,SETTLED,US,2022-03-20
2022-01-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,APPROVED,,US,
2022-01-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,NEW,,US,
2022-01-20,2022-01-20,2022-02-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,NEW,SETTLED,US,2022-02-20
2022-01-20,2022-01-20,2022-02-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,APPROVED,SETTLED,US,2022-02-20
2021-12-20,2021-12-20,2022-01-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,NEW,SETTLED,US,2022-01-20
2021-12-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,APPROVED,,US,
2021-12-20,2021-12-20,2022-01-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,APPROVED,SETTLED,US,2022-01-20
2021-12-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,NEW,,US,
2021-11-20,2021-11-20,2021-12-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,NEW,SETTLED,US,2021-12-20
2021-11-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,NEW,,US,
2021-11-20,2021-11-20,2021-12-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,APPROVED,SETTLED,US,2021-12-20
2021-11-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,APPROVED,,US,
2021-10-20,,,payment_transaction,CC,2008,,,,USD,,14.97,SALE,APPROVED,,US,
2021-10-20,2021-10-20,2021-11-19,SUBSCRIPTION,AMEX,2008,,VANTIV,13.99,USD,0.98,14.97,SALE,NEW,SETTLED,US,2021-11-20
