Certificate Name,Course Name,Enrollment Date,Grade Achieved,Link
Google Data Analytics,Google Data Analytics Capstone: Complete a Case Study,12/28/2021 0:00,100,
Google Data Analytics,Analyze Data to Answer Questions,12/26/2021 0:00,94.58,
Google Data Analytics,Share Data Through the Art of Visualization,11/28/2021 0:00,91.71,
Google Data Analytics,Process Data from Dirty to Clean,11/15/2021 0:00,88.88,
Google Data Analytics,Prepare Data for Exploration,11/14/2021 0:00,97.61,
Google Data Analytics,Ask Questions to Make Data-Driven Decisions,11/13/2021 0:00,91.38,
Google Data Analytics,Data Analysis with R Programming,11/1/2021 0:00,83.91,
Google Data Analytics,"Foundations: Data, Data, Everywhere",11/1/2021 0:00,87.63,
Google Project Management,Capstone: Applying Project Management in the Real World,3/6/2022 0:00,93.81,
Google Project Management,Project Execution: Running the Project,3/4/2022 0:00,92.52,
Google Project Management,Project Planning: Putting It All Together,2/19/2022 0:00,94.13,
Google Project Management,Project Initiation: Starting a Successful Project,1/15/2022 0:00,92.69,
Google Project Management,Foundations of Project Management,11/18/2021 0:00,94.6,
Google Project Management,Agile Project Management,11/18/2021 0:00,86.09,
IBM Data Analyst,Data Visualization with Python,1/1/2022 0:00,85.83,
IBM Data Analyst,IBM Data Analyst Capstone Project,1/1/2022 0:00,86.67,
IBM Data Analyst,Python Project for Data Science,12/30/2021 0:00,95,
IBM Data Analyst,Data Analysis with Python,12/30/2021 0:00,82,
IBM Data Analyst,Databases and SQL for Data Science with Python,11/17/2021 0:00,84.19,
IBM Data Analyst,"Python for Data Science, AI & Development",11/15/2021 0:00,83.6,
IBM Data Analyst,Data Visualization and Dashboards with Excel and Cognos,11/13/2021 0:00,95,
IBM Data Analyst,Introduction to Data Analytics,11/12/2021 0:00,95.85,
IBM Data Analyst,Excel Basics for Data Analysis,11/12/2021 0:00,97.52,
IBM Data Science,Machine Learning with Python,2/16/2022 0:00,81.5,
IBM Data Science,Applied Data Science Capstone,2/16/2022 0:00,87.83,
IBM Data Science,Data Science Methodology,1/16/2022 0:00,83.17,
IBM Data Science,Tools for Data Science,1/9/2022 0:00,85.83,
IBM Data Science,What is Data Science?,11/22/2021 0:00,83.33,
,Supervised Machine Learning: Classification,5/20/2022 0:00,70.38,
,Supervised Machine Learning: Regression,5/19/2022 0:00,90.94,
,Exploratory Data Analysis for Machine Learning,4/29/2022 0:00,82.5,
,Introduction to Git and GitHub,2/16/2022 0:00,100,
,Crash Course on Python,2/4/2022 0:00,88,
,Agile Leadership: Introduction to Change,12/30/2021 0:00,92.66,
,Introduction to Scrum Master Training,12/24/2021 0:00,88.13,
,Introduction to Agile Development and Scrum,12/20/2021 0:00,88,
,The Data Scientist’s Toolbox,10/19/2021 0:00,90.89,
