Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
2022-12-24,2022-12-24,Run,411,3.1,1763,9.47849,0,6.33012,0,142,4692,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7017168757
2022-12-24,2022-12-23,Run,410,3.09999,1750,9.4086,0,6.37714,0,142,4661,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7016549059
2022-12-20,2022-12-20,Run,420,3.1,1870,10.0538,0,5.96791,0,142,4948,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7012591120
2022-12-20,2022-12-20,Run,411,3.1,1760,9.46237,0,6.34091,0,142,4685,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7011832183
2022-12-19,2022-12-18,Run,410,3.1,1754,9.43011,0,6.3626,0,142,4671,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7011193363
2022-12-19,2022-12-17,Run,410,3.1,1748,9.39785,0,6.38444,0,142,4656,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7011194134
2022-12-14,2022-12-14,Run,272,2.02,1201,9.90924,2,6.05495,25,150,1685,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7005583186
2022-12-12,2022-12-12,Run,418,3.1,1836,9.87097,9,6.07843,7,160,4716,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7002926668
2022-12-11,2022-12-11,Run,418,3.1,1845,9.91935,1,6.04878,50,142,2325,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7001468647
2022-12-04,2022-12-04,Run,440,3.1,2093,11.2527,2,5.33206,38,134,3227,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6991488916
2022-12-03,2022-12-03,Run,762,6.21098,3854,10.3386,1,5.8035,115,153,10072,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6990151537
2022-11-27,2022-11-27,Run,769,6.26321,3884,10.334,1,5.80608,66,147,10292,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6981320998
2022-11-26,2022-11-26,Run,415,3.1,1804,9.69893,1,6.18625,41,150,4660,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6979521358
2022-11-24,2022-11-24,Run,403,3.1,1658,8.91398,4,6.731,15,145,4439,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6976261249
2022-11-23,2022-11-23,Run,414,3.1,1801,9.6828,6,6.19656,11,160,2052,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6975062074
2022-11-22,2022-11-22,Run,415,3.1,1803,9.69355,14,6.18968,4,163,15,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6973978099
2022-11-19,2022-11-19,Run,428,3.1,1956,10.5161,6,5.70552,11,157,4102,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6968952118
2022-11-14,2022-11-14,Run,420,3.1,1870,10.0538,0,5.96791,0,142,4948,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6961357696
2022-11-10,2022-11-10,Run,429,3.1,1970,10.5914,0,5.66497,0,142,5187,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6955476280
2022-11-09,2022-11-09,Run,420,3.1,1865,10.0269,0,5.98391,0,142,4936,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6953476837
2022-11-05,2022-11-05,Run,1756,13.1,7665,9.75191,0,6.15264,135,145,20519,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6945770659
2022-11-02,2022-11-02,Run,648,4.87,2794,9.56194,2,6.27487,36,156,4377,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6939952684
2022-10-29,2022-10-29,Run,436,3.1,2052,11.0323,1,5.4386,46,145,3445,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6933264379
2022-10-23,2022-10-23,Run,375,3.11418,1695,9.06884,2,6.61606,35,161,4465,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6922464514
2022-10-22,2022-10-22,Run,404,3.1,1605,8.62903,0,6.95327,0,163,4314,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6920382763
2022-10-16,2022-10-16,Run,815,6.25655,3977,10.5935,1,5.66386,68,151,10532,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6909741598
2022-10-15,2022-10-15,Indoor Run / Jog,403,3.1,1635,8.79032,10,6.82569,6,153,4237,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6908037409
2022-10-12,2022-10-12,Run,354,2.88965,1744,10.0555,2,5.96687,31,159,4608,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6901351858
2022-10-10,2022-10-10,Run,1867,13.1,8937,11.3702,0,5.27694,231,146,22295,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6897766765
2022-10-03,2022-10-02,Run,1257,10.4861,6544,10.3996,0,5.76946,409,143,17144,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6882817636
2022-10-01,2022-10-01,Run,872,6.50112,4195,10.7493,1,5.58176,109,152,11068,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6880390009
2022-09-25,2022-09-25,Run,1261,9.01954,5803,10.7204,1,5.59678,73,159,15198,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6868961083
2022-09-24,2022-09-24,Run,618,4.65019,2799,10.0291,1,5.98258,51,162,7380,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6866873968
2022-09-23,2022-09-23,Run,412,3.1,1775,9.54301,0,6.28732,0,142,4721,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6864982399
2022-09-18,2022-09-18,Indoor Run / Jog,413,3.1,1779,9.56452,11,6.27319,6,138,4212,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6854315680
2022-09-17,2022-09-17,Run,415,3.10691,1892,10.1447,0,5.9144,134,159,4970,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6852309619
2022-09-11,2022-09-11,Run,459,3.65871,2273,10.3497,0,5.79725,128,146,6002,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6839610871
2022-09-07,2022-09-07,Run,655,4.9,2844,9.67347,0,6.20253,0,142,7554,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6830915665
2022-09-05,2022-09-05,Run,629,5.01163,3964,13.1791,0,4.55266,148,125,8485,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6827565649
2022-09-04,2022-09-04,Run,491,3.74725,2584,11.4889,1,5.22242,47,143,6236,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6825445066
2022-09-03,2022-09-03,Run,601,4.50081,2941,10.8877,2,5.51079,27,151,7436,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6823489405
2022-09-02,2022-09-02,Indoor Run / Jog,800,5.85,3600,10.2564,10,5.85,6,133,9604,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6821006155
2022-08-31,2022-08-31,Run,670,5.01,2913,9.69062,0,6.19156,0,142,4716,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6816300529
2022-08-30,2022-08-30,Indoor Run / Jog,408,3.1,1723,9.26344,9,6.47708,6,147,4396,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6814829581
2022-08-29,2022-08-29,Indoor Run / Jog,412,3.1,1777,9.55376,10,6.28025,6,134,4270,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6812548111
2022-08-28,2022-08-28,Run,628,5.20363,4333,13.8781,8,4.32335,7,107,9242,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6810832729
2022-08-27,2022-08-27,Run,610,4.73411,3953,13.9142,9,4.31215,7,119,8206,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6807953053
2022-08-26,2022-08-26,Indoor Run / Jog,414,3.1,1801,9.6828,10,6.19656,6,142,4616,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6806142556
2022-08-22,2022-08-22,Indoor Run / Jog,414,3.09999,1801,9.6828,10,6.19656,6,144,4599,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6797274268
2022-08-20,2022-08-20,Run,1544,13.11,11065,14.0669,8,4.26534,8,140,22531,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6793063441
2022-08-17,2022-08-17,Indoor Run / Jog,859,6.56,3600,9.14634,10,6.56,6,147,9295,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6786805174
2022-08-15,2022-08-15,Indoor Run / Jog,632,4.74,3600,12.6582,10,4.74,6,122,8146,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6781978366
2022-08-14,2022-08-14,Run,618,6.38464,4663,12.1735,9,4.92875,7,128,11001,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6779701822
2022-08-12,2022-08-12,Indoor Run / Jog,831,6.21,3617,9.70746,10,6.18081,6,144,9306,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6775716568
2022-08-11,2022-08-11,Run,576,4.62746,3712,13.3661,2,4.48896,39,116,7878,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6771943882
2022-08-10,2022-08-10,Run,863,7.02161,4441,10.5393,1,5.693,62,144,11520,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6769680244
2022-08-09,2022-08-09,Run,626,6.35313,4274,11.2104,1,5.35219,57,145,11074,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6769551199
2022-08-08,2022-08-08,Run,797,6.34867,4013,10.5318,1,5.69702,119,146,10360,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6765021667
2022-08-06,2022-08-06,Walk,290,2.14121,2267,17.6365,2,3.40204,26,119,4141,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6762303220
2022-08-06,2022-08-06,Run,311,2.36879,1410,9.91253,1,6.05294,63,152,3639,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6762252706
2022-08-03,2022-08-03,Run,820,6.09,3600,9.85222,0,6.09,0,142,9545,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6756327499
2022-07-30,2022-07-30,Run,1117,8.0,5187,10.8062,0,5.55234,0,142,13634,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6746838721
