Certificate Name,Course Name,Enrollment Date,Grade Achieved,Link
Google Data Analytics,Google Data Analytics Capstone: Complete a Case Study,12/28/2021,100.00,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
NaN,Statistics for Data Science with Python,3/20/2022,11.90,NaN
NaN,Using Python to Interact with the Operating System,3/4/2022,14.00,NaN
NaN,Getting Started with SAS Visual Analytics,2/24/2022,0.00,NaN
NaN,Agile Meets Design Thinking,1/17/2022,36.00,NaN
Google Data Analytics,Analyze Data to Answer Questions,12/26/2021,94.58,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
NaN,Programming for Everybody (Getting Started with Python),5/16/2022,39.63,NaN
Google Data Analytics,Share Data Through the Art of Visualization,11/28/2021,91.71,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
Google Data Analytics,Process Data from Dirty to Clean,11/15/2021,88.88,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
Google Data Analytics,Prepare Data for Exploration,11/14/2021,97.61,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
NaN,Getting and Cleaning Data,11/3/2021,9.00,NaN
NaN,Introduction to Statistics,5/1/2022,0.00,NaN
NaN,Automating Real-World Tasks with Python,5/19/2022,0.00,NaN
Google Data Analytics,Ask Questions to Make Data-Driven Decisions,11/13/2021,91.38,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
Google Data Analytics,Data Analysis with R Programming,11/1/2021,83.91,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
Google Data Analytics,"Foundations: Data, Data, Everywhere",11/1/2021,87.63,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
Google Project Management,Capstone: Applying Project Management in the Real World,3/6/2022,93.81,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
Google Project Management,Project Execution: Running the Project,3/4/2022,92.52,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
Google Project Management,Project Planning: Putting It All Together,2/19/2022,94.13,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
NaN,Scripting with Python and SQL for Data Engineering,5/8/2022,0.00,NaN
NaN,R Programming,10/19/2021,16.00,NaN
NaN,Getting Started with Power BI Desktop,12/27/2021,0.00,NaN
Google Project Management,Project Initiation: Starting a Successful Project,1/15/2022,92.69,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
Google Project Management,Foundations of Project Management,11/18/2021,94.60,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
NaN,SQL for Data Science,4/17/2022,0.00,NaN
Google Project Management,Agile Project Management,11/18/2021,86.09,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
IBM Data Analyst,Data Visualization with Python,1/1/2022,85.83,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,IBM Data Analyst Capstone Project,1/1/2022,86.67,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,Python Project for Data Science,12/30/2021,95.00,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,Data Analysis with Python,12/30/2021,82.00,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,Databases and SQL for Data Science with Python,11/17/2021,84.19,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,"Python for Data Science, AI & Development",11/15/2021,83.60,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,Data Visualization and Dashboards with Excel and Cognos,11/13/2021,95.00,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,Introduction to Data Analytics,11/12/2021,95.85,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,Excel Basics for Data Analysis,11/12/2021,97.52,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Science,Machine Learning with Python,2/16/2022,81.50,https://coursera.org/share/e229e6f9bf3781bc463f243f4d4306ab
NaN,Hypothesis-Driven Development,1/22/2022,8.00,NaN
IBM Data Science,Applied Data Science Capstone,2/16/2022,87.83,https://coursera.org/share/e229e6f9bf3781bc463f243f4d4306ab
NaN,Coursera Career Services Orientation,1/21/2022,0.00,NaN
IBM Data Science,Data Science Methodology,1/16/2022,83.17,https://coursera.org/share/e229e6f9bf3781bc463f243f4d4306ab
IBM Data Science,Tools for Data Science,1/9/2022,85.83,https://coursera.org/share/e229e6f9bf3781bc463f243f4d4306ab
NaN,Google Cloud Big Data and Machine Learning Fundamentals,5/24/2022,50.00,NaN
IBM Data Science,What is Data Science?,11/22/2021,83.33,https://coursera.org/share/e229e6f9bf3781bc463f243f4d4306ab
NaN,Supervised Machine Learning: Classification,5/20/2022,70.38,NaN
NaN,Fundamentals of Scalable Data Science,10/25/2021,5.00,NaN
