My Certifications,Organization,Concentration ,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam/Training Cost,Exam Attempts,Total Costs,Funding Source, Additional Study Expenses ,Best Study Resource,Personal Expenses ,NOTES,Additional Study Resource,Additional Study Resource2
Data+,CompTia,Data Analysis,Data Analysis,Statistics,https://www.comptia.org/certifications/data,Certification,9/7/22,9/8/22,9/8/22,9/8/25,100%,Done,https://www.certmetrics.com/comptia/, $108.00 ,1, $108.00 ,Self,,,,,,
Project+,CompTia,Project Management,Project Management,,https://www.comptia.org/certifications/project,,,,,,,,,,, $-   ,,,,,,,
Google Project Management,Google,Project Management,Project Management,,https://www.coursera.org/learn/applying-project-management/home/welcome,Professional Certificate,11/1/21,5/12/22,4/1/22,,100%,Done,https://coursera.org/share/5631a803ab6306376ad8bb953022b556, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
IBM Data Science,IBM,Data Analysis,Python,Microsoft Excel,https://www.coursera.org/learn/machine-learning-with-python/home/welcome,Professional Certificate,10/1/22,5/6/22,7/1/22,,100%,Done,https://coursera.org/share/e229e6f9bf3781bc463f243f4d4306ab, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
PMI-DASSM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,2/26/22,4/9/22,5/1/22,4/9/23,100%,Done,https://my.pmi.org/, $270.00 ,1, $270.00 ,ArmyIgnited,,,,ArmyIgnited Approval Pending 2/26,,
Azure Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,3/26/22,3/27/22,3/27/22,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $99.00 ,1, $99.00 ,ESI,,,,,,
Intermediate Data Analytics Certificate,University of South Carolina,Data Analysis,Power Bi,Microsoft Excel,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,Professional Certificate,3/14/22,3/25/22,3/25/22,,100%,Done,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram," $6,000.00 ",1," $6,000.00 ",Proponent Funded, $-   ,,,Moved to virtual due to budget,,
Agile Certified Professional,SSGI,Agile,Agile,,https://www.6sigmacertificationonline.com/,Certification,2/1/22,3/14/22,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments, $270.00 ,1, $270.00 ,ArmyIgnited,,,,Pending funding approval 2/1/22,,
Lean Expert,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,Certification,2/22/22,2/23/22,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview, $100.00 ,1, $100.00 ,Vetjobs,,,,,,
Lean Specialist,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,Certification,2/21/22,2/22/22,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview, $100.00 ,1, $100.00 ,Vetjobs,,,,,,
PMI-DASM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,1/10/22,2/19/22,,2/19/23,100%,Done,https://my.pmi.org/, $270.00 ,1, $270.00 ,ArmyIgnited,,,,,,
Excel Specialist Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Excel Core Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Excel Developer Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Excel Architect Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
SHMR-SCP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,1/16/22,1/31/22,,5/31/25,100%,Done,https://portal.shrm.org/, $300.00 ,1, $300.00 ,ArmyIgnited,,,,,,
