Certificate Name,Course Name,Enrollment Date,Link
NaN,Introduction to Git and GitHub,2/16/22,NaN
Google Project Management,Capstone: Applying Project Management in the Real World,3/6/22,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
NaN,Deep Learning and Reinforcement Learning,6/25/22,NaN
NaN,Getting Started with SAS Visual Analytics,2/24/22,NaN
NaN,SQL for Data Science with R,7/10/22,NaN
Google Data Analytics,Prepare Data for Exploration,11/14/21,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
IBM Data Analyst,Python Project for Data Science,12/30/21,https://coursera.org/share/da07681340ea5f345cef21d04197f166
IBM Data Analyst,Excel Basics for Data Analysis,11/12/21,https://coursera.org/share/da07681340ea5f345cef21d04197f166
Google Project Management,Foundations of Project Management,11/18/21,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
Google Data Analytics,Analyze Data to Answer Questions,12/26/21,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
NaN,Introduction to Agile Development and Scrum,12/20/21,NaN
NaN,Data Analysis in Python with pandas & matplotlib in Spyder,2/4/22,NaN
IBM Data Analyst,Data Visualization and Dashboards with Excel and Cognos,11/13/21,https://coursera.org/share/da07681340ea5f345cef21d04197f166
Google Project Management,Project Initiation: Starting a Successful Project,1/15/22,https://coursera.org/share/5631a803ab6306376ad8bb953022b556
NaN,Agile Leadership: Introduction to Change,12/30/21,NaN
Google Data Analytics,Share Data Through the Art of Visualization,11/28/21,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
NaN,Supervised Machine Learning: Regression,5/19/22,NaN
NaN,The Data Scientist’s Toolbox,10/19/21,NaN
Google Data Analytics,Process Data from Dirty to Clean,11/15/21,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
Getting started with Google Workspace,Google Sheets,9/11/22,https://coursera.org/share/eb051d98829432162bdc78f34f1e9593
Google Data Analytics,Ask Questions to Make Data-Driven Decisions,11/13/21,https://coursera.org/share/188441016b9730162e5549c0fd136a0b
