Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Avg Speed (mi/h),Avg Heart Rate,Steps,target,minutes,Times,Distances
2022-12-24,2022-12-24,Run,411,3.1,1763,9.47849,6.33012,142,4692,276,29.383333333333333,20-30,3.09-6.19
2022-12-24,2022-12-23,Run,410,3.09999,1750,9.4086,6.37714,142,4661,275,29.166666666666668,20-30,3.09-6.19
2022-12-20,2022-12-20,Run,420,3.1,1870,10.0538,5.96791,142,4948,276,31.166666666666668,30-50,3.09-6.19
2022-12-20,2022-12-20,Run,411,3.1,1760,9.46237,6.34091,142,4685,276,29.333333333333332,20-30,3.09-6.19
2022-12-19,2022-12-18,Run,410,3.1,1754,9.43011,6.3626,142,4671,276,29.233333333333334,20-30,3.09-6.19
2022-12-19,2022-12-17,Run,410,3.1,1748,9.39785,6.38444,142,4656,276,29.133333333333333,20-30,3.09-6.19
2022-12-14,2022-12-14,Run,272,2.02,1201,9.90924,6.05495,150,1685,161,20.016666666666666,20-30,0-3.09
2022-12-12,2022-12-12,Run,418,3.1,1836,9.87097,6.07843,160,4716,276,30.6,30-50,3.09-6.19
2022-12-11,2022-12-11,Run,418,3.1,1845,9.91935,6.04878,142,2325,276,30.75,30-50,3.09-6.19
2022-12-04,2022-12-04,Run,440,3.1,2093,11.2527,5.33206,134,3227,276,34.88333333333333,30-50,3.09-6.19
2022-12-03,2022-12-03,Run,762,6.21098,3854,10.3386,5.8035,153,10072,515,64.23333333333333,50-100,6.19-9.99
2022-11-27,2022-11-27,Run,769,6.26321,3884,10.334,5.80608,147,10292,522,64.73333333333333,50-100,6.19-9.99
2022-11-26,2022-11-26,Run,415,3.1,1804,9.69893,6.18625,150,4660,276,30.066666666666666,30-50,3.09-6.19
2022-11-24,2022-11-24,Run,403,3.1,1658,8.91398,6.731,145,4439,276,27.633333333333333,20-30,3.09-6.19
2022-11-23,2022-11-23,Run,414,3.1,1801,9.6828,6.19656,160,2052,276,30.016666666666666,30-50,3.09-6.19
2022-11-22,2022-11-22,Run,415,3.1,1803,9.69355,6.18968,163,15,276,30.05,30-50,3.09-6.19
2022-11-19,2022-11-19,Run,428,3.1,1956,10.5161,5.70552,157,4102,276,32.6,30-50,3.09-6.19
2022-11-14,2022-11-14,Run,420,3.1,1870,10.0538,5.96791,142,4948,276,31.166666666666668,30-50,3.09-6.19
2022-11-10,2022-11-10,Run,429,3.1,1970,10.5914,5.66497,142,5187,276,32.833333333333336,30-50,3.09-6.19
2022-11-09,2022-11-09,Run,420,3.1,1865,10.0269,5.98391,142,4936,276,31.083333333333332,30-50,3.09-6.19
2022-11-05,2022-11-05,Run,1756,13.1,7665,9.75191,6.15264,145,20519,564,127.75,100-150,13.1-26.2
2022-11-02,2022-11-02,Run,648,4.87,2794,9.56194,6.27487,156,4377,471,46.56666666666667,30-50,3.09-6.19
2022-10-29,2022-10-29,Run,436,3.1,2052,11.0323,5.4386,145,3445,276,34.2,30-50,3.09-6.19
2022-10-23,2022-10-23,Run,375,3.11418,1695,9.06884,6.61606,161,4465,330,28.25,20-30,3.09-6.19
2022-10-22,2022-10-22,Run,404,3.1,1605,8.62903,6.95327,163,4314,276,26.75,20-30,3.09-6.19
2022-10-16,2022-10-16,Run,815,6.25655,3977,10.5935,5.66386,151,10532,520,66.28333333333333,50-100,6.19-9.99
2022-10-15,2022-10-15,Indoor Run / Jog,403,3.1,1635,8.79032,6.82569,153,4237,276,27.25,20-30,3.09-6.19
2022-10-12,2022-10-12,Run,354,2.88965,1744,10.0555,5.96687,159,4608,238,29.066666666666666,20-30,0-3.09
2022-10-10,2022-10-10,Run,1867,13.1,8937,11.3702,5.27694,146,22295,564,148.95,100-150,13.1-26.2
2022-10-03,2022-10-02,Run,1257,10.4861,6544,10.3996,5.76946,143,17144,561,109.06666666666666,100-150,9.99-13.1
2022-10-01,2022-10-01,Run,872,6.50112,4195,10.7493,5.58176,152,11068,529,69.91666666666667,50-100,6.19-9.99
2022-09-25,2022-09-25,Run,1261,9.01954,5803,10.7204,5.59678,159,15198,555,96.71666666666667,50-100,6.19-9.99
2022-09-24,2022-09-24,Run,618,4.65019,2799,10.0291,5.98258,162,7380,463,46.65,30-50,3.09-6.19
2022-09-23,2022-09-23,Run,412,3.1,1775,9.54301,6.28732,142,4721,276,29.583333333333332,20-30,3.09-6.19
2022-09-18,2022-09-18,Indoor Run / Jog,413,3.1,1779,9.56452,6.27319,138,4212,276,29.65,20-30,3.09-6.19
2022-09-17,2022-09-17,Run,415,3.10691,1892,10.1447,5.9144,159,4970,315,31.533333333333335,30-50,3.09-6.19
2022-09-11,2022-09-11,Run,459,3.65871,2273,10.3497,5.79725,146,6002,402,37.88333333333333,30-50,3.09-6.19
2022-09-07,2022-09-07,Run,655,4.9,2844,9.67347,6.20253,142,7554,472,47.4,30-50,3.09-6.19
2022-09-05,2022-09-05,Run,629,5.01163,3964,13.1791,4.55266,125,8485,478,66.06666666666666,50-100,3.09-6.19
2022-09-04,2022-09-04,Run,491,3.74725,2584,11.4889,5.22242,143,6236,407,43.06666666666667,30-50,3.09-6.19
2022-09-03,2022-09-03,Run,601,4.50081,2941,10.8877,5.51079,151,7436,456,49.016666666666666,30-50,3.09-6.19
2022-09-02,2022-09-02,Indoor Run / Jog,800,5.85,3600,10.2564,5.85,133,9604,491,60.0,50-100,3.09-6.19
2022-08-31,2022-08-31,Run,670,5.01,2913,9.69062,6.19156,142,4716,477,48.55,30-50,3.09-6.19
2022-08-30,2022-08-30,Indoor Run / Jog,408,3.1,1723,9.26344,6.47708,147,4396,276,28.716666666666665,20-30,3.09-6.19
2022-08-29,2022-08-29,Indoor Run / Jog,412,3.1,1777,9.55376,6.28025,134,4270,276,29.616666666666667,20-30,3.09-6.19
2022-08-28,2022-08-28,Run,628,5.20363,4333,13.8781,4.32335,107,9242,485,72.21666666666667,50-100,3.09-6.19
2022-08-27,2022-08-27,Run,610,4.73411,3953,13.9142,4.31215,119,8206,465,65.88333333333334,50-100,3.09-6.19
2022-08-26,2022-08-26,Indoor Run / Jog,414,3.1,1801,9.6828,6.19656,142,4616,276,30.016666666666666,30-50,3.09-6.19
2022-08-22,2022-08-22,Indoor Run / Jog,414,3.09999,1801,9.6828,6.19656,144,4599,275,30.016666666666666,30-50,3.09-6.19
2022-08-20,2022-08-20,Run,1544,13.11,11065,14.0669,4.26534,140,22531,565,184.41666666666666,,13.1-26.2
2022-08-17,2022-08-17,Indoor Run / Jog,859,6.56,3600,9.14634,6.56,147,9295,530,60.0,50-100,6.19-9.99
2022-08-15,2022-08-15,Indoor Run / Jog,632,4.74,3600,12.6582,4.74,122,8146,466,60.0,50-100,3.09-6.19
2022-08-14,2022-08-14,Run,618,6.38464,4663,12.1735,4.92875,128,11001,526,77.71666666666667,50-100,6.19-9.99
2022-08-12,2022-08-12,Indoor Run / Jog,831,6.21,3617,9.70746,6.18081,144,9306,514,60.28333333333333,50-100,6.19-9.99
2022-08-11,2022-08-11,Run,576,4.62746,3712,13.3661,4.48896,116,7878,462,61.86666666666667,50-100,3.09-6.19
2022-08-10,2022-08-10,Run,863,7.02161,4441,10.5393,5.693,144,11520,540,74.01666666666667,50-100,6.19-9.99
2022-08-09,2022-08-09,Run,626,6.35313,4274,11.2104,5.35219,145,11074,525,71.23333333333333,50-100,6.19-9.99
2022-08-08,2022-08-08,Run,797,6.34867,4013,10.5318,5.69702,146,10360,524,66.88333333333334,50-100,6.19-9.99
2022-08-06,2022-08-06,Walk,290,2.14121,2267,17.6365,3.40204,119,4141,171,37.78333333333333,30-50,0-3.09
2022-08-06,2022-08-06,Run,311,2.36879,1410,9.91253,6.05294,152,3639,193,23.5,20-30,0-3.09
2022-08-03,2022-08-03,Run,820,6.09,3600,9.85222,6.09,142,9545,495,60.0,50-100,3.09-6.19
2022-07-30,2022-07-30,Run,1117,8.0,5187,10.8062,5.55234,142,13634,550,86.45,50-100,6.19-9.99
2022-07-28,2022-07-28,Run,314,3.1554,1905,10.0635,5.96213,158,5020,340,31.75,30-50,3.09-6.19
2022-07-25,2022-07-25,Run,430,4.2552,6268,24.4819,2.45079,87,8227,442,104.46666666666667,100-150,3.09-6.19
2022-07-24,2022-07-24,Run,415,3.1,1805,9.7043,6.18283,142,4793,276,30.083333333333332,30-50,3.09-6.19
2022-07-21,2022-07-21,Walk,227,1.60334,1657,17.2116,3.48602,131,3001,117,27.616666666666667,20-30,0-3.09
2022-07-21,2022-07-21,Run,422,3.10069,1857,9.9778,6.01335,158,4849,280,30.95,30-50,3.09-6.19
2022-07-20,2022-07-20,Run,836,6.2,3689,9.91667,6.05042,142,9775,501,61.483333333333334,50-100,6.19-9.99
2022-07-18,2022-07-18,Run,1175,9.00279,5709,10.5677,5.67767,143,14918,554,95.15,50-100,6.19-9.99
2022-07-17,2022-07-17,Run,404,3.1,1593,8.56452,7.00565,142,4286,276,26.55,20-30,3.09-6.19
2022-07-17,2022-07-16,Run,405,3.1,1698,9.12903,6.57244,142,4537,276,28.3,20-30,3.09-6.19
2022-07-14,2022-07-14,Run,452,3.75571,2157,9.56352,6.27384,148,5684,409,35.95,30-50,3.09-6.19
2022-07-13,2022-07-13,Run,398,3.1082,1912,10.2504,5.8534,150,4991,321,31.866666666666667,30-50,3.09-6.19
2022-07-12,2022-07-12,Run,421,3.10741,1968,10.5533,5.68541,155,5134,317,32.8,30-50,3.09-6.19
2022-07-12,2022-07-11,Run,197,1.99974,1409,11.7439,5.10902,145,3302,151,23.483333333333334,20-30,0-3.09
2022-07-10,2022-07-10,Run,429,3.09815,2301,12.3732,4.8492,149,5125,264,38.35,30-50,3.09-6.19
2022-07-09,2022-07-09,Run,430,3.10009,2005,10.7738,5.56904,157,5261,277,33.416666666666664,30-50,3.09-6.19
2022-07-08,2022-07-08,Run,454,3.10995,1988,10.6494,5.6341,165,5202,326,33.13333333333333,30-50,3.09-6.19
2022-06-24,2022-06-24,Run,400,3.1,1554,8.35484,7.18147,142,4192,276,25.9,20-30,3.09-6.19
2022-06-23,2022-06-23,Run,410,3.1,1748,9.39785,6.38444,142,4656,276,29.133333333333333,20-30,3.09-6.19
2022-06-21,2022-06-22,Run,403,3.1,1665,8.95161,6.7027,142,4458,276,27.75,20-30,3.09-6.19
2022-06-19,2022-06-19,Run,378,2.66,1800,11.2782,5.32,142,4713,223,30.0,30-50,0-3.09
2022-06-18,2022-06-18,Run,370,2.57857,1698,10.9661,5.4714,159,4431,211,28.3,20-30,0-3.09
2022-06-16,2022-06-17,Run,315,2.33,1391,9.94993,6.03019,142,3684,189,23.183333333333334,20-30,0-3.09
2022-06-15,2022-06-15,Run,405,3.1,1691,9.0914,6.59965,142,4520,276,28.183333333333334,20-30,3.09-6.19
2022-06-12,2022-06-12,Run,428,3.09762,1955,10.5163,5.70545,0,5052,262,32.583333333333336,30-50,3.09-6.19
2022-06-10,2022-06-10,Run,881,6.20257,4182,11.2337,5.34108,153,10479,508,69.7,50-100,6.19-9.99
2022-06-09,2022-06-08,Run,407,3.11,1702,9.12111,6.57814,153,4548,327,28.366666666666667,20-30,3.09-6.19
2022-06-06,2022-06-06,Run,590,4.50165,2924,10.8223,5.54409,145,7739,457,48.733333333333334,30-50,3.09-6.19
2022-06-05,2022-06-05,Walk,253,1.88061,2402,21.277,2.81995,109,3994,139,40.03333333333333,30-50,0-3.09
2022-06-05,2022-06-05,Run,302,2.43575,1487,10.1722,5.89844,148,3889,201,24.783333333333335,20-30,0-3.09
2022-06-04,2022-06-04,Run,856,6.24228,3946,10.5333,5.6962,156,10427,518,65.76666666666667,50-100,6.19-9.99
2022-06-03,2022-06-03,Run,397,3.10851,1864,9.98908,6.00656,152,4863,323,31.066666666666666,30-50,3.09-6.19
2022-05-31,2022-06-01,Run,416,3.1,1817,9.76882,6.14199,142,4822,276,30.283333333333335,30-50,3.09-6.19
2022-05-31,2022-05-31,Run,546,4.08,2377,9.70997,6.17922,145,4048,431,39.61666666666667,30-50,3.09-6.19
2022-05-30,2022-05-30,Run,418,3.10044,1873,10.0597,5.96441,159,4873,278,31.216666666666665,30-50,3.09-6.19
2022-05-28,2022-05-28,Run,426,3.10717,1852,9.93269,6.04066,162,4867,316,30.866666666666667,30-50,3.09-6.19
2022-05-27,2022-05-27,Run,405,3.1,1691,9.0914,6.59965,142,4520,276,28.183333333333334,20-30,3.09-6.19
2022-05-25,2022-05-25,Run,801,6.20547,3735,10.0315,5.98118,150,9802,512,62.25,50-100,6.19-9.99
2022-05-24,2022-05-24,Run,408,3.1,1731,9.30645,6.44714,142,4616,276,28.85,20-30,3.09-6.19
2022-05-22,2022-05-22,Run,420,3.1,1865,10.0269,5.98391,142,4936,276,31.083333333333332,30-50,3.09-6.19
2022-05-20,2022-05-20,Run,417,3.1,1827,9.82258,6.10837,142,4845,276,30.45,30-50,3.09-6.19
2022-05-20,2022-05-20,Run,394,3.10131,1839,9.88125,6.07211,149,4858,284,30.65,30-50,3.09-6.19
2022-05-17,2022-05-17,Run,840,6.20338,3843,10.3243,5.81153,151,10162,509,64.05,50-100,6.19-9.99
2022-05-16,2022-05-16,Run,395,3.10598,1777,9.53134,6.29502,145,4650,312,29.616666666666667,20-30,3.09-6.19
2022-05-14,2022-05-14,Run,419,3.1,1851,9.95161,6.02917,142,4903,276,30.85,30-50,3.09-6.19
2022-05-13,2022-05-13,Run,814,6.2,3430,9.22043,6.50729,149,9155,501,57.166666666666664,50-100,6.19-9.99
2022-05-11,2022-05-11,Run,656,5.00117,2989,9.95615,6.02642,146,7917,476,49.81666666666667,30-50,3.09-6.19
2022-05-09,2022-05-09,Run,391,3.10777,1802,9.65751,6.21278,140,4782,319,30.033333333333335,30-50,3.09-6.19
2022-05-08,2022-05-08,Run,313,2.35281,1376,9.73759,6.16169,156,3622,192,22.933333333333334,20-30,0-3.09
2022-05-07,2022-05-07,Run,348,2.59009,1516,9.74739,6.15549,154,4043,212,25.266666666666666,20-30,0-3.09
2022-05-07,2022-05-07,Run,430,3.1,1974,10.6129,5.6535,142,5197,276,32.9,30-50,3.09-6.19
2022-05-06,2022-05-06,Run,796,6.20509,3701,9.93786,6.03752,148,9854,511,61.68333333333333,50-100,6.19-9.99
2022-05-05,2022-05-05,Run,605,4.51981,2670,9.84503,6.09445,151,7087,458,44.5,30-50,3.09-6.19
2022-05-03,2022-05-03,Run,403,3.1,1665,8.95161,6.7027,142,4458,276,27.75,20-30,3.09-6.19
2022-05-01,2022-05-01,Run,402,3.10282,1727,9.27449,6.46936,158,4584,295,28.783333333333335,20-30,3.09-6.19
2022-04-30,2022-04-30,Run,328,2.42729,1356,9.30802,6.44605,163,3579,196,22.6,20-30,0-3.09
2022-04-29,2022-04-29,Run,816,6.20159,3774,10.1422,5.91586,149,10012,503,62.9,50-100,6.19-9.99
2022-04-28,2022-04-29,Run,399,3.1,1539,8.27419,7.25146,142,4157,276,25.65,20-30,3.09-6.19
2022-04-28,2022-04-28,Run,398,3.10633,1659,8.89784,6.74321,149,4445,314,27.65,20-30,3.09-6.19
2022-04-27,2022-04-27,Run,444,3.50724,1880,8.92682,6.72131,152,5066,380,31.333333333333332,30-50,3.09-6.19
2022-04-25,2022-04-25,Run,393,3.10605,1659,8.89421,6.74597,150,4440,313,27.65,20-30,3.09-6.19
2022-04-23,2022-04-23,Run,404,3.1,1604,8.62366,6.95761,142,4312,276,26.733333333333334,20-30,3.09-6.19
2022-04-23,2022-04-23,Run,403,3.1,1659,8.91935,6.72694,142,4444,276,27.65,20-30,3.09-6.19
2022-04-22,2022-04-22,Run,406,3.1,1700,9.13978,6.56471,142,4542,276,28.333333333333332,20-30,3.09-6.19
2022-04-21,2022-04-21,Run,412,3.10142,1747,9.36898,6.40411,159,4639,287,29.116666666666667,20-30,3.09-6.19
2022-04-19,2022-04-19,Run,650,5.01831,2863,9.4959,6.31851,152,7656,481,47.71666666666667,30-50,3.09-6.19
2022-04-18,2022-04-18,Run,407,3.09845,1766,9.48472,6.32596,153,4696,266,29.433333333333334,20-30,3.09-6.19
2022-04-19,2022-04-17,Run,414,3.1,1800,9.67742,6.2,142,4781,276,30.0,30-50,3.09-6.19
2022-04-15,2022-04-15,Run,405,3.1,1694,9.10753,6.58796,142,4527,276,28.233333333333334,20-30,3.09-6.19
2022-04-15,2022-04-15,Run,312,2.33625,1384,9.86227,6.08379,151,3557,191,23.066666666666666,20-30,0-3.09
2022-04-10,2022-04-10,Run,416,3.1,1820,9.78495,6.13187,142,4829,276,30.333333333333332,30-50,3.09-6.19
2022-04-09,2022-04-09,Run,1070,7.52507,4924,10.9062,5.50145,156,13023,546,82.06666666666666,50-100,6.19-9.99
2022-04-03,2022-04-03,Run,30,0.251156,145,9.57475,6.26648,144,372,7,2.4166666666666665,0-20,0-3.09
2022-04-03,2022-04-03,Run,881,6.19947,3852,10.3494,5.79745,161,10290,500,64.2,50-100,6.19-9.99
2022-03-31,2022-03-31,Run,411,3.1,1761,9.46774,6.33731,142,4688,276,29.35,20-30,3.09-6.19
2022-03-31,2022-03-27,Run,93,0.662913,394,9.89718,6.06234,148,999,31,6.566666666666666,0-20,0-3.09
2022-03-31,2022-03-27,Run,402,3.10118,1811,9.72485,6.16976,155,4714,281,30.183333333333334,30-50,3.09-6.19
2022-03-25,2022-03-25,Run,406,3.1,1704,9.16129,6.5493,142,4551,276,28.4,20-30,3.09-6.19
2022-03-25,2022-03-23,Run,415,3.1,1803,9.69355,6.18968,142,4788,276,30.05,30-50,3.09-6.19
2022-03-20,2022-03-20,Run,837,6.2,3694,9.93011,6.04223,142,9787,501,61.56666666666667,50-100,6.19-9.99
2022-03-19,2022-03-19,Run,830,6.2,3613,9.71237,6.17769,142,9593,501,60.21666666666667,50-100,6.19-9.99
2022-03-14,2022-03-13,Run,418,3.1,1847,9.93011,6.04223,142,4893,276,30.783333333333335,30-50,3.09-6.19
2022-03-11,2022-03-11,Run,817,6.20247,3834,10.3003,5.82508,155,10219,507,63.9,50-100,6.19-9.99
2022-03-11,2022-03-10,Run,410,3.1,1750,9.4086,6.37714,142,4661,276,29.166666666666668,20-30,3.09-6.19
2022-03-08,2022-03-09,Run,411,3.1,1757,9.44624,6.35174,142,4678,276,29.283333333333335,20-30,3.09-6.19
2022-03-06,2022-03-06,Run,1854,13.1,9189,11.6908,5.13222,156,22087,564,153.15,,13.1-26.2
2022-03-05,2022-03-05,Run,422,3.1,1886,10.1398,5.91729,142,4987,276,31.433333333333334,30-50,3.09-6.19
2022-03-05,2022-03-05,Run,301,3.1,3688,19.828,3.02603,142,9296,276,61.46666666666667,50-100,3.09-6.19
2022-02-28,2022-03-01,Run,1464,10.51,6776,10.7453,5.58383,142,18259,562,112.93333333333334,100-150,9.99-13.1
2022-02-27,2022-02-27,Run,824,6.2,3548,9.53763,6.29087,142,9437,501,59.13333333333333,50-100,6.19-9.99
2022-02-27,2022-02-27,Run,791,5.75,3600,10.4348,5.75,142,9493,490,60.0,50-100,3.09-6.19
2022-02-22,2022-02-23,Run,404,3.1,1600,8.60215,6.975,142,4303,276,26.666666666666668,20-30,3.09-6.19
2022-02-21,2022-02-21,Walk,487,4.07453,4837,19.7728,3.03447,100,5841,430,80.61666666666666,50-100,3.09-6.19
2022-02-21,2022-02-21,Run,475,3.60654,2071,9.56704,6.27153,161,5569,395,34.516666666666666,30-50,3.09-6.19
2022-02-19,2022-02-17,Run,403,3.1,1620,8.70968,6.88889,142,4350,276,27.0,20-30,3.09-6.19
2022-02-19,2022-02-16,Run,265,2.0,1132,9.43333,6.36042,142,3014,152,18.866666666666667,0-20,0-3.09
2022-02-13,2022-02-13,Run,403,3.1,1611,8.66129,6.92737,142,4329,276,26.85,20-30,3.09-6.19
2022-02-12,2022-02-12,Run,411,3.1,1767,9.5,6.31579,142,4702,276,29.45,20-30,3.09-6.19
2022-02-12,2022-02-11,Run,403,3.1,1641,8.82258,6.80073,142,4401,276,27.35,20-30,3.09-6.19
2022-02-12,2022-02-10,Run,397,3.1,1521,8.17742,7.33728,142,4114,276,25.35,20-30,3.09-6.19
2022-02-02,2022-02-02,Run,399,3.10459,1722,9.24186,6.4922,151,4592,303,28.7,20-30,3.09-6.19
2022-02-01,2022-02-01,Run,400,3.1077,1718,9.21152,6.51358,150,4610,318,28.633333333333333,20-30,3.09-6.19
2022-01-31,2022-01-31,Run,54,0.440799,219,8.25808,7.26561,156,576,21,3.65,0-20,0-3.09
2022-01-31,2022-01-31,Run,287,2.23328,1172,8.7371,6.86726,156,3126,179,19.533333333333335,0-20,0-3.09
2022-01-30,2022-01-30,Run,416,3.2,1707,8.89062,6.74868,142,4574,348,28.45,20-30,3.09-6.19
2022-01-29,2022-01-29,Run,455,3.29,2359,11.9504,5.02077,142,6147,358,39.31666666666667,30-50,3.09-6.19
2022-01-26,2022-01-26,Run,404,3.10535,1727,9.26428,6.47649,160,4630,309,28.783333333333335,20-30,3.09-6.19
2022-01-25,2022-01-26,Run,403,3.1,1610,8.65591,6.93168,142,4326,276,26.833333333333332,20-30,3.09-6.19
2022-01-23,2022-01-23,Run,404,3.1,1599,8.59677,6.97936,142,4300,276,26.65,20-30,3.09-6.19
2022-01-22,2022-01-22,Run,403,3.1,1647,8.85484,6.77596,142,4415,276,27.45,20-30,3.09-6.19
2022-01-22,2022-01-20,Run,345,2.5,1578,10.52,5.70342,142,5532,207,26.3,20-30,0-3.09
2022-01-18,2022-01-18,Walk,244,1.71222,2547,24.766,2.42268,94,3313,128,42.45,30-50,0-3.09
2022-01-18,2022-01-18,Run,292,2.23836,1331,9.90469,6.05773,146,3526,181,22.183333333333334,20-30,0-3.09
2022-01-17,2022-01-17,Run,839,6.2,3720,10.0,6.0,142,9849,501,62.0,50-100,6.19-9.99
2022-01-15,2022-01-15,Run,403,3.1,1672,8.98925,6.67464,142,4475,276,27.866666666666667,20-30,3.09-6.19
2022-01-13,2022-01-13,Run,401,3.10137,1775,9.53308,6.29387,150,4736,285,29.583333333333332,20-30,3.09-6.19
2022-01-12,2022-01-12,Run,408,3.10493,1821,9.76737,6.14291,154,4852,306,30.35,30-50,3.09-6.19
