screen_name,text,location,latitude,longitude
latimesent,"John Irving, who warned you about Roe vs. Wade, hopes to die at his desk https://t.co/QBkAyqLnjD","Los Angeles, CA",34.054935,-118.244476
dentintheworld,"""When you find the details of the Vegas shooter, you'll find the SCOTUS Roe leaker"" - Donald Sutherland on a DC park bench, probably",Somalia,8.3676771,49.083416
ohgoditsmatthew,@tencor_7144 @lxeagle17 They really don’t. Roe was just different because… DUH. Most political realignments can be traced to social issues.,"California, USA",36.7014631,-118.7559974
RealChicagoPhil,@mmpadellan You know how Roe being overturned was a unpopular idea that nobody seemed to see coming? The eliminatio… https://t.co/dnyehVm2MJ,Las Vegas,36.1662859,-115.149225
dfortkiewicz,@TheDoctor_C137 @business Overturning roe was our federal government taking away a right to more then half the coun… https://t.co/xmZbZXGmHb,"New Jersey, USA",40.0757384,-74.4041622
RUckssay,"@GOPLeader Parents believe in Roe V Wade.

ROEVEMBER, Kev.

You've done nothing but VOTE AGAINST GREAT POLICIES tha… https://t.co/ugJAoJ7kFB",UWS,49.6313887,92.9558186
LaxGoalieMom1,"@kfoxdenky @KaraThrace9 @myhealthgazette To be ""fair,"" Roe wasn't a law. SCOTUS doesn't pass laws. That's why every… https://t.co/fgiKZNxBw9",The Twin Beaches,47.6199053,-116.7982423
BradesNH,@morethanmySLE Why are more Democrats not running on this issue? All I see are ads about Roe v. Wade. and although… https://t.co/WvN6g5w4cf,"Pelham, NH",42.734534,-71.3245067
SWIMIndivisible,"Love democracy just as much as a delicious rosé? It's your chance to shine!

@briantylercohen is selling Codify Roe… https://t.co/5o2KgIjpuH",Michigan,43.6211955,-84.6824346
SWIMIndivisible,"A strong majority of Americans supported Roe v. Wade!

Now we need to elect 2 more Democrat Senators to make… https://t.co/FNNMCW3sjZ",Michigan,43.6211955,-84.6824346
ks_woke,"@914Ann @Tyzyfe Roe gave federal protections to women and Drs by protecting womens choice, regardless of the bans m… https://t.co/sAGKnEFpIL",Arrowhead Kingdom,36.0118825,-114.959291673745
SWIMIndivisible,"A strong majority of Americans support Roe v. Wade. 

Now we need to elect 2 more Democrat Senators to make… https://t.co/skD0A2gJAH",Michigan,43.6211955,-84.6824346
SWIMIndivisible,Extremist Republicans didn't get the SCOTUS decision by sitting out the vote. They worked decades to overturn Roe.… https://t.co/S3i5IRl7PN,Michigan,43.6211955,-84.6824346
SWIMIndivisible,"A strong majority of Americans supported Roe v. Wade!

Now we need to elect 2 more Democrat Senators to make… https://t.co/KhRQ2gCmy9",Michigan,43.6211955,-84.6824346
LMartinOtt,Momentum back to GOP. Dems bounce from Roe decision fading.  https://t.co/uoCRQ18EEa,"Ottawa, Ontario",45.421106,-75.690308
SWIMIndivisible,"Roe Roe Roe Your Vote  
Gently save democracy
Merrily merrily merrily merrily
Winning the midterms is not a dream!… https://t.co/49XBFGCDvZ",Michigan,43.6211955,-84.6824346
SWIMIndivisible,"Trump Republicans didn't get the SCOTUS decision by sitting out the vote. They worked decades to overturn Roe. 

Le… https://t.co/UgqxpCt9Xh",Michigan,43.6211955,-84.6824346
