screen_name,text,location,latitude,longitude
ARookerKCCI,"DEJEAR ON ABORTION ACCESS: 
“I want to codify Roe in our state, because that had reasonable restrictions with excep… https://t.co/eycP7wphZ8","Des Moines, Iowa",41.5910641,-93.6037149
_taafari,Seeing roe today was needed,NJ,40.0757384,-74.4041622
Popyrus12,"@unholybasil @JoeBiden That’s not what’s needed to codify Roe V Wade— it’s a supreme court case, meaning the majori… https://t.co/HNAemwxTBY",New Hampshire,43.4849133,-71.6553992
PA10Voter,Not angry but definitely roe-ing my vote!,United States,39.7837304,-100.4458825
SarahisCensored,@FallonForTexas stated that Roe V Wade was unconstitutional.  Life begins at conception other than when the life of… https://t.co/92UHPfqp1g,"Tyler, Tx",32.3512601,-95.3010624
HidehiroAnto,"@JoeBiden This is false, you already have a majority in the Senate and Roe still is not codified","Trisolaris, Proxima Centauri",,
ctblogger,"Read slow.

George Logan supported the overturning of Roe v Wade which was a landmark decision which declared that… https://t.co/sCwvfhWyuZ",Danbury CT,52.0545317,-0.7596683
MelanieScarlata,Bet it’s none. National ban if he has his way. Roe the vote Ohio!,"Chicago, IL",41.8755546,-87.6244212
coolmomxiv,@roefizzlebeef So gray/roe/thyme/venat when,Pearl lane,51.3966398,0.5566751
IAmEricKenney,Wtf does that even mean? Roe was a fiction? Fine if you oppose abortion. Don’t have one. But you don’t get to make… https://t.co/BdV7iqY9tL,"Salt Lake City, UT",40.7670126,-111.8904308
kiplinger00,@ComradeIsobel @stowZJE @EmilyFairchild @Leftist_Kiwi And the GOP does it through white grievance. RE: Roe not bein… https://t.co/kNYKBjezSX,Here,43.8222157,17.6896937
fms325,@FredGiuffrida Still angry. Roe was settled law. What will the GOP come after next?,"New Jersey, USA",40.0757384,-74.4041622
alexandraaozuna,When I see random porn clips on twitter i automatically send them to dyl and roe. Because if I have to see it so do they,Philadelphia,39.9523993,-75.1635899
garystevensonII,"@My3Alexandra He’s a punk.  1 trick pony. Had the Scotus not overturned Roe, Malinowsky would have zero tv ads to run. Zero !!!",United States,39.7837304,-100.4458825
Lruggiero721,"@FredGiuffrida @grampage_on Still angry about Roe, Uvalde, Jan 6th and so much more. This could be our last legitim… https://t.co/oR2etPPpFE","Arizona, USA",34.395342,-111.7632755
cindyaintright,@Octoberink @JenniferKeilba1 @realMichaelHawk @ksorbs I think very little of the reversal of Roe and having a bunch… https://t.co/s1gdTjzMy9,  🇺🇸,,
KevyneShandris,"Who NEEDS Roe vs Wade ""codified"" into law?

Laws CHANGE!

Roe vs Wade is suppose to dovetail with the #ERA!

Amendm… https://t.co/CW6uGQ7kCA","Georgia, USA",32.3293809,-83.1137366
MeiMeiFox,Express your #RoeRage! Check out these short viral films by my bff Jen inspiring YOU TO VOTE in Nov and protest the… https://t.co/mFa8a2Qwji,"Honolulu, HI",21.304547,-157.8556764
justgeorgeaz,"@bgmasters Roe, Roe, Roe Your Boat...",AZ,40.3936294,47.7872508
klety_b,Roe-Roe-Roe the Blue Vote 🗳 💙,Nevada,39.5158825,-116.8537227
RomneyGOP,@Landrew89048139 @Pennthusiast I’d trade 2 years of Senate control for overturning Roe—and it looks like I will.,"Washington, DC",38.8949549,-77.0366456
TomthunkitsMind,"If we lose Congress, Biden becomes a lame duck &amp; will be impeached immediately. Overturning Roe is just the beginni… https://t.co/6KFEv6FUZH",In Your Mind Now,,
H_Scott_M,Resistors. Stay angry. They won’t stop with Roe. Or banning books. Or banning contraception. Inflation is temporary… https://t.co/RhFMDJTsbW,United States,39.7837304,-100.4458825
