,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link,Calculated
0,2022-04-23,2022-04-23,Run,404,3.1,1604,8.62,0.0,6.96,0.0,104.45,4312.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6531527377,26.733333333333334
1,2022-04-23,2022-04-23,Run,403,3.1,1659,8.92,0.0,6.73,0.0,104.45,4444.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6530209972,27.65
2,2022-04-22,2022-04-22,Run,406,3.1,1700,9.14,0.0,6.56,0.0,104.45,4542.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6528199306,28.333333333333332
3,2022-04-21,2022-04-21,Run,412,3.1,1747,9.37,8.78,6.4,6.84,159.0,4639.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6526547335,29.116666666666667
4,2022-04-19,2022-04-19,Run,650,5.02,2863,9.5,8.6,6.32,6.98,152.0,7656.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6522224401,47.71666666666667
5,2022-04-18,2022-04-18,Run,407,3.1,1766,9.48,8.6,6.33,6.97,153.0,4696.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6520116703,29.433333333333334
6,2022-04-19,2022-04-17,Run,414,3.1,1800,9.68,0.0,6.2,0.0,104.45,4781.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6523663267,30.0
7,2022-04-15,2022-04-15,Run,405,3.1,1694,9.11,0.0,6.59,0.0,104.45,4527.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6515709280,28.233333333333334
8,2022-04-15,2022-04-15,Run,312,2.34,1384,9.86,7.92,6.08,7.57,151.0,3557.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6515052958,23.066666666666666
9,2022-04-10,2022-04-10,Run,416,3.1,1820,9.78,0.0,6.13,0.0,104.45,4829.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6504905743,30.333333333333332
10,2022-04-09,2022-04-09,Run,1070,7.53,4924,10.91,8.82,5.5,6.81,156.0,13023.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6502480642,82.06666666666666
11,2022-04-03,2022-04-03,Run,30,0.25,145,9.57,8.95,6.27,6.71,144.0,372.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6490051426,2.4166666666666665
12,2022-04-03,2022-04-03,Run,881,6.2,3852,10.35,8.11,5.8,7.39,161.0,10290.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6489971440,64.2
13,2022-03-31,2022-03-31,Run,411,3.1,1761,9.47,0.0,6.34,0.0,104.45,4688.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6485079649,29.35
14,2022-03-31,2022-03-27,Run,93,0.66,394,9.9,9.02,6.06,6.65,148.0,999.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6485079682,6.566666666666666
15,2022-03-31,2022-03-27,Run,402,3.1,1811,9.72,7.5,6.17,8.0,155.0,4714.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6485079163,30.183333333333334
16,2022-03-25,2022-03-25,Run,406,3.1,1704,9.16,0.0,6.55,0.0,104.45,4551.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6472625521,28.4
17,2022-03-25,2022-03-23,Run,415,3.1,1803,9.69,0.0,6.19,0.0,104.45,4788.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6472625032,30.05
